"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"789d0d689dea8b7c","indeed","https://uk.indeed.com/viewjob?jk=789d0d689dea8b7c","http://uk.indeed.com/job/bartenderpromo-staff-789d0d689dea8b7c","Bartender/Promo staff","Liv Bar","Leeds, ENG, GB","parttime, fulltime","2024-12-18","","","","","",False,"","","","","","**18 +** 

**Promo and bar staff** 

**8 hours to 16 hours per week** 

**Shifts will be split over** 

**Promo and bar shifts** 

**70% Promo / 30% Bar**

**National minimum wage** 

**Start date Friday 20th** 

**Weekly pay** 

Job Types: Full-time, Part-time

Pay: £8.60-£11.50 per hour

Expected hours: 8 – 16 per week

Additional pay:

* Bonus scheme
* Performance bonus
* Tips

Benefits:

* Employee discount

Schedule:

* 8 hour shift
* Every weekend
* Night shift
* Weekend availability

Experience:

* Hospitality: 1 year (preferred)
* customer Service: 1 year (preferred)
* Bartending: 1 year (preferred)

Work Location: In person

Expected start date: 20/12/2024","https://uk.indeed.com/cmp/Liv-Bar-1","","","","","","","","",""
"2736695b7ae79d86","indeed","https://uk.indeed.com/viewjob?jk=2736695b7ae79d86","http://uk.indeed.com/job/support-worker-2736695b7ae79d86","Support Worker","Thriving Care Yorkshire","Bingley, ENG, GB","fulltime","2024-12-18","","","","","",False,"","","","","","Full job description

Thriving Care Yorkshire Ltd has an exciting position in our residential home. As a Residential Support Worker, you will play a vital role in providing care, support, and guidance to children and young people living in a residential home setting. This role involves creating a safe, nurturing, and structured environment that enables young people to feel self-worth, develop independence, achieve their goals, and feel valued and respected.

Thriving Care Ltd is committed to safeguarding and promoting the welfare and safety of children and young people in our care and expects all staff and volunteers to share this commitment. Successful applicant will receive thorough checks.

Job Title:

Residential Support Worker

Position description:

· Working as a Residential Support Worker, you must be willing to go an extra mile for the children and young people in our care.

· Ensuring that the children and young people in our care have an experience of childhood that they can cherish, reflect upon and which will give them strength into adulthood.

· You'll be expected to be a positive role model for the young people, daily running of the home as well as well as 1-1 work with a young person. You will be expected to engage with the children and young people and be pro-active and always work to the children's homes quality standards and regulations.

Report to/ Supervisor:

Registered Manager/ Deputy Manager

Work Schedule:

Rotational shift patterns, including evenings, weekends, and sleep-ins.

· Flexibility to respond to emergencies and changing demands of the service.

Key responsibility & accountability:

Providing Care and Support

· Provide emotional and practical support tailored to the individual needs of children and young people.

· Assist in the development of life skills, such as cooking, budgeting, personal hygiene, and time management.

· Provide support with education, training, or employment pathways.

Safeguarding and Well-being

· Ensure the physical and emotional safety of young people by adhering to safeguarding policies and procedures.

· Monitor and respond to any signs of harm, abuse, or neglect.

· Foster a supportive and trusting relationship to help young people feel safe and secure.

Planning and Accurate Record-Keeping

· Assist in developing and implementing individual care plans and support plans for young people.

· Maintain accurate and up-to-date records, including incident reports, daily logs, and progress notes.

· Participate in care plan reviews and provide input based on observations and interactions.

Promoting Positive Behaviour

· Encourage and support young people to develop positive social behaviours.

· Respond effectively to challenging behaviour, using de-escalation techniques and following behaviour management policies.

· Promote a culture of respect, inclusion, and mutual understanding.

Encouraging Social and Recreational Activities:

· Plan and participate in recreational activities that promote engagement and personal development.

· Encourage young people to explore hobbies and interests to build confidence and self-esteem.

· Foster integration into the local community by organising outings, events, and volunteer opportunities.

Teamwork

· Work closely with other staff members to deliver consistent and high-quality care.

· Attend regular team meetings, supervision sessions, and training to ensure alignment with organizational standards.

· Communicate effectively with external agencies, such as social workers, educators, and healthcare professionals.

Home Management

· Contribute to the daily operation of the residential home, including housekeeping, meal preparation, and maintaining a welcoming environment.

· Ensure the home complies with health and safety regulations, including fire safety and cleanliness standards.

Crisis management

· Respond calmly and appropriately to crisis situations, including medical emergencies or emotional distress.

· Follow protocols for incidents, ensuring the well-being of all residents and staff

Knowledge, Skills & Abilities

· Strong interpersonal and communication skills.

· Empathy, patience, and the ability to build trusting relationships.

· Resilience and the ability to handle challenging situations.

· Organisational and time-management skills.

· Commitment to promoting the well-being and independence of young people.

· Ability to maintain professional boundaries while building positive relationships.

· A collaborative approach to working with colleagues and external professionals.

· Willingness to engage in ongoing professional development.

Education & Experience

· Minimum of GCSEs or equivalent qualifications.

· NVQ Level 3 in Health and Social Care or equivalent (or willingness to work towards this qualification).

· Experience in working with young people in a residential or similar setting would be preferred.

Compliance Requirement

· Enhanced DBS check.

· Understanding of safeguarding and child protection policies.

· Valid First Aid certification (or willingness to obtain).

Work authorisation:

· United Kingdom (sponsorship support not available

Job Type: Full-time

Pay: £13.59-£14.14 per hour

Benefits:

* Company pension
* Employee discount
* Referral programme

Physical Setting:

* Residential home

Shift:

* Day shift
* Night shift

Work days:

* Monday to Friday

Education:

* GCSE or equivalent (preferred)

Experience:

* Home care: 1 year (preferred)

Language:

* English (preferred)

Licence/Certification:

* Driving Licence (preferred)

Work Location: In person

Reference ID: TCY12","https://uk.indeed.com/cmp/Thriving-Care-Yorkshire","","","","","","","","",""
"ab9b48a23ba2c29b","indeed","https://uk.indeed.com/viewjob?jk=ab9b48a23ba2c29b","http://uk.indeed.com/job/restaurant-and-bar-manager-ab9b48a23ba2c29b","Restaurant and Bar Manager","Beauty and the Bistro","Stoke-on-Trent, ENG, GB","","2024-12-18","","","","","",False,"","","","","","***Beauty and the Bistro*** offers luxury wining, dining, and refining in Basford, near Newcastle and Stoke-on-Trent.

Following our successful opening in November, we are now looking for an experienced Restaurant and Bar Manager to take over the front of house running of our Bistro.

This is a really exciting opportunity to lead the Restaurant and Bar with up to to 60 covers across a restaurant and private dining space and attract repeat guests to experience the excellent levels of service your team deliver.

Working in partnership with the Managing Director and our Executive Chef, it is essential that you have previous experience of leading and managing a Restaurant ad Bar, preferably with find dining experience to be able to deal the Bistro into 2025, when we will see the opening of our Beauty Quarters.

We are looking for our Restaurant and Bar Manager to be the welcoming host our fine dining guests will expect, so an excellent communicator is a must, along with proven high standards in customer relationship building.

A people leader in a similar sized environment, who can motivate and lead their team from the front will excel in this family business.

What else are we looking for:

* Strong working knowledge of food safety standards
* Working knowledge of EPOS online booking systems
* Customer relationship management skills
* Food safety certification
* Previous supervising experience in a restaurant setting
* Demonstrated experience in managing a bistro or restaurant
* Strong understanding of food and beverage operations
* Ability to lead a team effectively
* Mixologist, or strong cocktail knowledge
* Barista, or excellent coffee knowledge
* Wine knowledge
* Event management and creativity

We will be open 5.5 days per week.

The right candidate can expect to work in a family-centred culture, to receive trust and empowerment from the Managing Director to bring their creativity, ideas and lead their team.

There is a beautiful working environment, with everything brand new and the opportunity to create and shape a team for the future and the next phase of the business.

Access to discounted beauty treatments and products.

Flexible working hours.

Interviews are immediately available for the perfect candidate to meet the team and come and see where your next career move could take you.

Please apply with your CV and the HR team will be in touch.

This is a permanent role and the annual salary will be circa £40,000 dependant on the level of experience and skills.

Our guests can relax and look their best at The Beauty Quarters with our boutique salon, beauty rooms and skin clinic and enjoy coffee, drinks, cocktails, lunches, afternoon tea and dinner at The Bistro Quarters.

The Bistro Quarters will provide the perfect backdrop for pre or post treatment dining, as well as being open to anyone who has not booked a treatment to enjoy our fine dining experience.

Job Type: Permanent

Pay: £40,000.00 per year

Schedule:

* 8 hour shift
* Day shift
* Night shift
* Weekend availability

Application question(s):

* Please note the salary for this role is circa £40,000, please confirm your salary expectations meet this.
* Please highlight your previous leadership experience in a fine dining restaurant?

Work Location: In person

Reference ID: R&BM122024","https://uk.indeed.com/cmp/Beauty-and-the-Bistro-1","","","","","","","","",""
"e40e0c26d0ab6647","indeed","https://uk.indeed.com/viewjob?jk=e40e0c26d0ab6647","http://uk.indeed.com/job/performing-arts-teacher-e40e0c26d0ab6647","Performing Arts Teacher","Camp rapsody","Stoke-on-Trent, ENG, GB","parttime","2024-12-18","","","","","",False,"","","","","","Performing arts teacher.  
flexible hours for right applicant

Job Type: Part-time

Pay: From £12.00 per hour

Additional pay:

* Bonus scheme
* Performance bonus
* Yearly bonus

Benefits:

* Childcare
* Employee discount

Schedule:

* Day shift
* Monday to Friday
* Night shift
* Weekend availability

Ability to commute/relocate:

* Stoke-on-Trent: reliably commute or plan to relocate before starting work (required)

Work Location: In person

Reference ID: Performing arts  
Expected start date: 15/01/2025","https://uk.indeed.com/cmp/Camp-Rapsody","","","","","","","","",""
"8b85b52b30cf3a09","indeed","https://uk.indeed.com/viewjob?jk=8b85b52b30cf3a09","http://uk.indeed.com/job/care-assistant-nights-8b85b52b30cf3a09","Care Assistant (Nights)","The Place Up Hanley","Stoke-on-Trent, ENG, GB","fulltime","2024-12-18","","","","","",False,"","","","","","Safe Harbor is a family run Residential Care Home provider operating in multiple locations across Stoke on Trent and Staffordshire. We are dedicated to developing quality environments and high standards of care, which enable residents to enjoy life to the full, as individuals, in happy, comfortable, and safe surroundings

It is important to us that our employees feel empowered to develop and improve the business to provide the best possible environment and service for residents in our care. At Safe Harbor we are committed to raising standards not just in the business but across the industry as a whole.

We believe in delivering quality care and to do this we must have the best and most passionate people who are committed to making a difference. The teams within our homes and offices work in a friendly supportive environment, which are an integral part of the community.

We have worked hard at Safe Harbor to create a friendly and supportive workplace encouraging each home to have its own individual personality reflecting the residents and staff within it.

We have a talented team but are constantly looking for new people who can join us and make a difference.

We are currently offering a **£400 'Golden Hello' cash incentive\\*** to any new starters for our group when starting contracted hours. Contracted hours are offered to our zero hour staff as a priority.

We are looking for caring people with an eye for detail to provide the highest level of personal care and attention to our service users;

* Ensuring that all contact is polite, friendly, warm and supportive.
* Reporting any changes in a resident's condition to a senior person on duty.
* Changing beds and tidying resident's rooms and ensuring communal areas are clean and safe.
* Helping to serve meals and drinks at meal times and other times when required.
* Providing personal centered care at all times
* Ensuring accurate record keeping is carried out at all times.
* All candidates will go through our thorough induction.

Experience ideal but not essential

\\*Terms and Conditions apply

Job Types: Full-time, Permanent

Pay: £11.54 per hour

Additional pay:

* Signing bonus

Benefits:

* Company pension
* Discounted or free food
* Free parking
* On-site parking

Experience:

* Care home: 1 year (preferred)

Work authorisation:

* United Kingdom (required)

Work Location: In person","https://uk.indeed.com/cmp/The-Place-Up-Hanley","https://www.safeharbor.co.uk/homes/place-hanley","","","","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/53556f43e9bd9703efa7f0652c0c88f4","","",""
"c20b0c9737c2865e","indeed","https://uk.indeed.com/viewjob?jk=c20b0c9737c2865e","https://careers.marriott.com/supervisor-front-office-night/job/28B047169C819CD579512F4EFF99CFFC?utm_medium=jobboard&utm_source=indeed","Supervisor-Front Office Night","Marriott International","Preston, ENG, GB","fulltime","2024-12-17","","","","","",True,"","","Restaurants Travel And Leisure","","","**Additional Information**  

**Job Number**24214693  

**Job Category**Rooms & Guest Services Operations  

**Location**Delta Hotels Preston, Garstang Road, Broughton, Preston, England, United Kingdom, PR3 5JB  

**Schedule**Full Time  

**Located Remotely?**N  

**Position Type** Non-Management  

**POSITION SUMMARY**

  



**Start Your Journey With Us**


An exciting opportunity to start your career journey with Marriott Hotel's. Come and join our Marriott team at the four-star Delta Hotels by Marriott and develop your career while providing a professional and energetic service to our members and hotel guests.


The Delta Hotels by Marriott Preston is a grand Victorian manor house which sits in landscaped gardens and exudes charm and warmth from the moment you arrive. It situated just off the M6 motorway on the outskirts of the city and it easily accessible by car and it is also on a main public transport route.


It is the perfect location for business and leisure and has a focus on culinary excellence with our Brew Bar and Cast Iron Bar and Grill. Marriott International is the worlds' largest hotel company and provides associates with extensive, ongoing training and development for long term career opportunities. Delta Hotels by Marriott Preston has fully equipped fitness centre and swimming pool.


**Job Summary**


Night Supervisors at the Delta Hotels by Marriott Preston provide exceptional standards of hospitality ensuring memorable and unique experiences are always provided to all our guests both in person and virtually.


You will be perfectly positioned at the centre of the hotel operations and empowered to create those unforgettable WOW moments that encourage and promote Marriott Brand Loyalty which is critical in supporting our overarching vision and mission. You will be responsible for the running of night shifts and the overall hotel, working closely with the Night Team


The following are specific responsibilities and contributions critical to the successful performance of the position:


* In charge of front office over night
* Work together with the Night Manager and assist in training, evaluating, counselling, disciplining, and motivating and coaching employees; serve as a role model and first point of contact of the Guarantee of Fair Treatment/Open Door Policy process.
* Report accidents, injuries, and unsafe work conditions to manager; complete safety training and certifications.
* Set up of any rooms that are requested to the company brand standards.
* Completion of security walk rounds
* Checking in and out of guests
* Preparation of food and drink as requested by guests.
* Ensuring public areas are free of dirty crockery, trays and glasses.
* Ensuring that any late arrival guests are dealt with in a professional manner and roomed effectively.
* Any additional tasks delegated by the Night Manager
* Deliver any room service as ordered by our guests.
* To deliver newspapers on a daily basis as previously ordered by hotel guests.
* To ensure that any guests within the hotel are dealt with quickly and efficiently.
* Ensure floats are counted and balanced at start and end of shift and they are secure at all times. Blind Banking procedures are followed along with all local and Marriott policies and procedures.
* Complete any extra tasks delegated by the Hotel Manager

**Perks you deserve.**


* Team-spirited co-workers
* Encouraging management
* Wellbeing programs
* Learning and development opportunities
* A competitive salary
* Gym membership
* Meals on duty
* Generous global hotel discounts for you, your friends and family
* Employee Assistance Scheme to help guide you through the challenging times in your life.
* Recommend a Friend
* Length of Service Recognition.
* Life Assurance Cover.
* Access to the fantastic Marriott UK Benefits Site where you can take advantage of great discounts including, travel, cycle to work, shopping discounts at over 60 major UK retailers and so much more.

  

*Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.*


Delta Hotels provide a seamless travel experience that has been thoughtfully designed with the essential needs of the modern frequent traveler in mind. We flawlessly deliver the key essentials guests need and we work hard to eliminate everything they don’t. At Delta Hotels by Marriott, we are always warm, wise and in control so our guests can focus on what’s most important. With a strong presence in Canada, the United Kingdom, and the United States, Delta Hotels by Marriott is rapidly expanding across markets all around the world. If you enjoy delivering purposeful service and focusing on the details that matter, we invite you to explore jobs at Delta Hotels by Marriott. In joining Delta Hotels, you join a portfolio of brands with Marriott International. **Be** where you can do your best work, **begin** your purpose, **belong** to an amazing global team, and **become** the best version of you.","https://uk.indeed.com/cmp/Marriott-International","https://www.marriott.com","Global Headquarters

7750 Wisconsin Avenue
Bethesda, MD 20817","10,000+","more than $10B (USD)","With more than 8,300 hotels and 30+ hotel brands worldwide, the career opportunities with Marriott are endless. Experience our story.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/35c575587ce04e0f016b7d1b7f3215cf","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/af5496b3763849e40430890f35da215b","Anthony Capuano","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/3d209db6b22c8f32fb7dd8f543021363"
"3f819571457f7d14","indeed","https://uk.indeed.com/viewjob?jk=3f819571457f7d14","https://whb.dayforcehcm.com/CandidatePortal/en-GB/whb/Site/PREMINN/Posting/View/36858?source=Indeed","Nights - Team Member","Premier Inn","Birkenhead, ENG, GB","","2024-12-17","","","","","",False,"","","Restaurants Travel And Leisure","","","We're currently recruiting in our Birkenhead Town Centre Premier Inn. Working 21 hours per week, paying up to £13.04 per hour.
  
  

Nights Team Member – Birkenhead Town Centre Premier Inn - Hotel
  
  

Come and be a Nights Team Member at Birkenhead Town Centre Premier Inn. As the go-to for our hotel overnight guests, use your calm personality to ensure their safety and your customer service skills to help them rest easy and get that good night’s sleep with us. Immediate start, no experience needed.
  
  

**PAY RATE:**  

Up to £13.04 per hour night shift
  
  

**CONTRACT TYPE:**  

Permanent – we don’t do zero hours contracts! Over 18s only.
  
  

**HOURS:**  

21 a week – guaranteed hours to plan your week around. Over 3 days. The role will include shifts from 23:00 until 06:30 and is mostly a cleaning role but will involve aspects of banking and also checking in/ out guests of the hotel.
  
  

**LOCATION:**  

Birkenhead Town Centre Premier Inn, Conway St., Birkenhead CH41 5AP
  
  

**Why you’ll love it here:**  

**Training and support:**  We’ve got a warm welcome and simple administration system to use that will make your job easier from the start PLUS the opportunities to give you a clear career path within our business.
  
**Whitbread Benefits card:**  Enjoy up to 60% off Premier Inn rooms and 25% off meals in all Whitbread Restaurants
  
**Pension and saving schemes:** Company pension and save as you earn scheme
  
**Discounts:** Get money off shops, your utility bills, travel, cinema trips, supermarkets and more
  
**Have breakfast on us:** Enjoy a complimentary Premier Inn breakfast for 2 when you join us
  
  

**What you’ll do:**  

Join our team at Birkenhead Town Centre Premier Inn as a Nights Team Member and look after our hotel and guests overnight. Bring your problem-solving skills, health and safety knowledge and be part of the UK’s leading hospitality business, Whitbread.","https://uk.indeed.com/cmp/Premier-Inn","https://www.premierinn.com/","Dunstable, UK","10,000+","","Premier Inn is part of Whitbread - the leading hospitality group in the UK. We are the largest hotel chain in the UK with more than 800 locations and growing…","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/402b094c3e9b6253d618987edcf40710","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/01e809ef676be67804fe21609acb3552","Dominic Paul","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/56dd4b04e5955d6a82d74520019283ab"
"7b03ffdde532faea","indeed","https://uk.indeed.com/viewjob?jk=7b03ffdde532faea","https://ce0078li.webitrent.com/ce0078li_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID%3d109771m2co&WVID=54185200Pk&LANG=USA","Casual Night Support Worker","Calderdale Council","Halifax, ENG, GB","","2024-12-17","","","","","",False,"","","","","","Application closing date
06/01/2025
Location
Halifax
Salary
Scale 3, £12.85 per hour
Package
Casual
Job category/type
Council

Job description**Post Ref:** CC123



We are looking to recruit Casual Night Support Workers to work across the borough of Calderdale delivering personal care during the night.



The Out of Hours Team is a service which supports individuals within their own homes during the night. You will work with an established team in pairs, placing emphasis on dignity and choice, promoting independence, and supporting individuals with personal hygiene needs and repositioning.



We are looking for candidates who are passionate about making a difference to individual’s lives and are able to apply person centred approaches.



**Your qualities will include:**  

* Enthusiasm and a positive attitude that will enhance the positive experiences of the individuals in the service.
* Ability to demonstrate good and safe practice in your work.
* Excellent verbal and written communication skills.
* Ability to use your own initiative and work as part of a team.
* A flexible approach to ensure we meet changing needs of the individuals we support and the service we provide.
  

You will have the use of Calderdale vehicles in your role, so you will need to hold a full driving licence.



We are committed to safeguarding and promoting the welfare of children, young people and vulnerable adults and expect all staff to share this commitment. Applicants to posts that are exempt from the Rehabilitation of Offenders Act will require a DBS from the Disclosure and Barring Service before the appointment is confirmed.



**Closing Date: 6th January 2025**


**Interview Date: 13th and 14th January 2025**



We may utilise digital interview methods.



As part of our Vision (https://www.calderdale.gov.uk/vision/) we aim to be a talented, resilient and inclusive community. We welcome applications from all and offer a variety of flexible working / job share opportunities.



On 30 January 2019, the Council declared a climate emergency in a bold move to step up its action to tackle climate change.



Calderdale Council embraces the positive benefits of a diverse workforce and we are committed to providing an environment that is inclusive. We encourage applications from people who share our commitment to challenge inequality and promote diversity across Calderdale. We particularly welcome applications from communities that are currently under-represented in our organisation. All applications are anonymised before being seen by the selection panel.



For support on your application please read our Application Booklet or visit our Employment Hub | Calderdale Council.



We reserve the right to close vacancies prior to the advertised closing date, an early submission is advised.","https://uk.indeed.com/cmp/Calderdale-Council","http://www.calderdale.gov.uk","Halifax, England","1,001 to 5,000","Decline to state","Calderdale. A Great Place to Work, where everyone can reach their potential and live a larger life.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2cb527efd45b610fa48416686304c5e8","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/3aadd1f08b6059c6bd6f0e7a9843869f","Robin Tuddenham","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/3af33a4a66b815cf521f3b2a4c79ce91"
"5b26e865949733e0","indeed","https://uk.indeed.com/viewjob?jk=5b26e865949733e0","https://jobs.dayforcehcm.com/en-GB/brainkind/CANDIDATEPORTAL/jobs/862","Community Support Worker - Liverpool WAKING NIGHTS","Brainkind","Liverpool, ENG, GB","","2024-12-17","","","","","",False,"","","Health Care","","","Community Support Worker PREVIOUS APPLICANTS NEED NOT APPLY
  
  

Liverpool (Mill Street)
  
  

**Salary:** upto £13.00 per hour
  
  

**Hours:** Night 30 hours per week Waking Night
  
  

Previous Applicants need not apply.
  
  

Working in brain injury rehabilitation is different to other kinds of support work. You’re there to encourage and guide individuals, helping them gain the skills and confidence to live independently.
  
  

You will share the journey with these inspiring people as they overcome hurdles, achieve milestones, and reach the goals they’ve set. You can make a massive difference in that time.
  
  

Why join us?
  
  

Brainkind is a charity that aims to improve the lives of people with brain injuries in the UK. Our assessment centres, rehabilitation units and hospitals use expert neurorehabilitation to support people to regain the skills they have lost. We treat people with a range of brain injuries – sustained through trauma, illness, substance abuse and more – to recover and meet their personal goals. Our employees are incredibly passionate about the jobs they do – you’ll find a strong team spirit across our services and amazing colleagues who always pull together and look out for each other.
  
  

The Role
  
  

Mill Street, opened in Spring 2021, is a purpose-built supported living service for people with acquired brain injury, physical disabilities and/or sensory impairment. There are 13 self-contained flats available. The service is managed by a Registered Service Manager Nicola, who leads Team Leaders and team of Support Workers to deliver a service of exceptional quality. It is a really varied job, with all kinds of different activities to organise and participate in.
  
  

Mill Street is a permanent home for the people we support, and our focus is to support people to live the way they wish to, and be fully included in all aspects of their lives. We actively promote independence, and encourage community integration, whilst supporting with daily tasks such as providing personal care, environmental management, supporting with medication, health appointments, meal preparation and cooking to name a few.
  
  

You’ll get huge job satisfaction from seeing the people you are supporting do more for themselves and live the life they want to live. If you’re interested in building a career, we’re here to support you all the way on your own journey.
  
  

About you
  
  

We’re not looking for any kind of specific experience. It is your personality and values that will make you a good fit for the role and our Charity. We can train and develop you to become a great Community Support Worker if you:
  
  

* have genuine empathy for our residents, with the positivity, patience, and resilience to support them through the difficult times of their rehabilitation
* enjoy teamwork and take pride in getting a job done well alongside your colleagues
* have excellent face to face communication skills and a good standard of literacy
* have good time management skills and the ability to prioritise your own workload.


Rewards
  
  

You can look forward to excellent benefits, including handy discounts on many brands and services.
  
  

* A competitive rate of up to £13.00 per hour
* 33 days annual leave inclusive of bank holidays (pro rata)
* Excellent training and support
* Group life assurance & Company Pension
* Access to our Employee Assistance Programme (EAP)
* Eye voucher scheme
* Free parking
* Nationwide employee staff discounts incl. eating out and shopping
* Blue Light Card: provides those in the NHS, emergency services, social care sector and armed forces with discounts online and in-store


We also put a big focus on employee wellbeing and support. It matters to us that you feel at your best. Career development is a priority. We will ensure you get all the training and learning opportunities you need to achieve your goals.
  
  

If this position sounds of interest to you, apply today by clicking Apply Now button.
  
  

**Please note:** we will be shortlisting and interviewing candidates on a rolling basis until the role is filled therefore, we recommend applying as soon as possible.
  
  

* All successful candidates are subject to compliance checks including 3 years of checkable references and DBS/PVG checks\\*


Brainkind are a Disability Confident Employer. As users of the disability confident scheme, we guarantee to interview all disabled applicants who meet the minimum criteria for the vacancy. Brainkind is committed to promoting a diverse and inclusive organisation. It’s a place where we recognise, celebrate and live our values which includes offering a range of inclusive employment policies and staff engagement forums to support employees from all backgrounds.","https://uk.indeed.com/cmp/Brainkind","https://www.thedtgroup.org/","32 Market Place,
Burgess Hill,
West Sussex,
RH15 9NP","","","We are a charity that works alongside people with an acquired brain injury, autism, and learning or physical disabilities to help them live as independently as possible.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/206685c96f60415f32649805857b082d","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/b428d631d6d9dec11711c86b04e7fe00","Irene Sobowale","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/7c3c7b66cccb0b80140e74226d6d01d9"
"049dfc9b33c02ecf","indeed","https://uk.indeed.com/viewjob?jk=049dfc9b33c02ecf","https://jobs.tjx.com/uk/en/job/TJCOGLOBAL2309576EXTERNALENUK/Automation-Maintenance-Engineer?utm_source=indeed&utm_medium=phenom-feeds","Automation Maintenance Engineer","The TJX Companies, Inc.","Wakefield, ENG, GB","fulltime","2024-12-17","","","","","",False,"","","","","","**Amazing, supportive people. Fast-paced work that makes no two days the same. You’ll find all this and more when you join our TJX Distribution Team.**

  

You may not have heard of TJX Europe, but chances are you’ve shopped in Homesense or TK Maxx; these are part of our TJX Europe family.


We’re looking for Automation Engineers to join the team at our Wakefield processing Centre.

  

As an Automation Engineer you will work as part of a team helping to run and maintain all our automated systems ensuring all equipment and machinery are in excellent working order and keeping production downtime to a minimum.

 **Required Skills**

  

* Previous experience of working in a similar role and environment
* Recognised engineering qualification to NVQ Level 3 or higher, in an electrical and/or mechanical subject
* PLC, Network knowledge preferred.
* ASI, IBUS networking and addressing knowledge.
* Ability to understand electrical and mechanical drawings/manuals.
* Ability to work under pressure and to tight deadlines.
* Practical attitude with effective communication skills
* Have a proactive approach to fault finding, a commitment to continuous improvement, and personal development.
* Computer literate

 **What's In It For You?**

  

* Competitive salary
* 39 hour per week contract
* Fixed 3-week rota – so you know exactly when you will working.
* Opportunity for overtime
* No night shifts!! Shifts are either 6am – 3pm or 3pm to Midnight.
* Subsidised Canteen
* 10% company discount
* Free onsite parking

  

As proud as we are of our past success, it’s our future that excites us most. We strive to provide opportunities for growth, recognition and a competitive salary and benefits package. Share our determination to think bolder and bigger and be part of our future.","https://uk.indeed.com/cmp/The-TJX-Companies,-Inc.","http://www.jobs.tjx.com","Framingham, MA","10,000+","more than $10B (USD)","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e1af488859e866795788901213b764e9","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/e76576dc39d46d21c67f8b66e595b79e","Ernie Herrman","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/f75b483f5373c8559d787885c26f6ea0"
