id,site,job_url,job_url_direct,title,company,location,job_type,date_posted,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,company_industry,listing_type,emails,description,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,logo_photo_url,banner_photo_url,ceo_name,ceo_photo_url
12417347d7ba441d,indeed,https://www.indeed.com/viewjob?jk=12417347d7ba441d,https://careers.staples.com/job/-/-/44412/74650083184,Warehouse Lean Restocker Full Time 3rd Shift,Staples,"Montgomery, NY, US",fulltime,12/17/2024,,hourly,,,USD,FALSE,,,Retail,,,"**9:00pm-7:30am/Sunday-Wednesday (This is a 4-day 10-hour shift; however, 10 hours are not guaranteed, same as 8 hours not guaranteed on 5-day 8-hour shifts.)**


**Staples is business to business.** Youâ€™re what binds us together.



Join our Staples World Class Supply Chain Team and deliver essential products to our customers.


**What youâ€™ll be doing:**  

As a warehouse associate you may work in one of the following five areas:



Order Picker: You will pick and prepare customer orders accurately and timely to meet daily production goals. At times you will be picking above ground level while adhering to safety procedures.



Restocker: You will scan labels, cut boxes, and restock shelves to prep your work area for the next shift while adhering to safety procedures.



Bulk Selector: You will be responsible for selecting product, pulling, and packing totes, as well as cutting cases of merchandise and/or stocking product. You will move full totes and cases onto a conveyor belt while adhering to safety procedures.



Custodian: You will be responsible for general cleaning and basic maintenance duties both inside and outside of the facility. In this role, you will clean and sanitize restrooms, vacuum, and remove spots from carpet, sweep and mop floors, clean and dust chairs, partition walls and other miscellaneous furniture, clean windows and brass and collect and remove trash from the warehouse while adhering to safety procedures.



Please note, as an SC1 associate you may be moved into any of the above roles as needed.



You will be essential to the success of Staples Supply Chain as we deliver to our customers.



Safety is our utmost priority so, in this role, we will look to you to ensure safe work practices and embrace our safety culture.


**What you bring to the table:**


* An ability to count and use basic arithmetic skills.
* An inclusive approach with your colleagues and customers to forge strong relationships and foster collaboration to resolve issues.
* An ability to adopt our safety procedures quickly and ensure safe work practices.
* An ability to work in a warehouse environment with seasonal temperature variations.
  


**Whatâ€™s needed- Basic Qualifications:**


* Ability to work assigned schedule and be accountable for assigned tasks.
* Ability to understand and adhere to all job requirements and safety guidelines.
* Basic English language skills (both verbal and written communications).
* If you are hired as a Full-Time associate, you must have the ability to work additional hours beyond scheduled shift; additional overtime hours will be required based on business need.
* An ability to lift, lower, push, pull or carry product up to a maximum of 70 pounds by hand.
* Ability to walk and stand 100% of the time.
* Must be at least 18 years old.

  

  

**Whatâ€™s needed- Preferred Qualifications:**


* High School Diploma/GED or equivalent work experience.
* Prior warehouse or applicable experience to include, but not limited to: fast-food (utilizing headset a plus), stockroom, working with racking systems, customer service, package handling, etc.

  

  

*The physical demands described are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.*


**We Offer:**


* **Competitive Pay Rate: $19.90/hour + $2.00/hour Shift Differential**
* Competitive Pay.
* Inclusive culture with associate-led Business Resource Groups and resources such as the Social Justice Resource Center.
* Staples offers both Full-Time and Part-Time benefits. Some Full-Time benefits include: 112 Hours of PTO and Holiday Schedule (7 observed paid holidays + 1 floating holiday), Online and Retail Discounts, Company Match 401(k). Physical and Mental Health Wellness programs, and more!",https://www.indeed.com/cmp/Staples,https://www.staples.com/,"500 Staples Drive, Framingham, MA 01702","10,000+",more than $10B (USD),"Staples is a world-class retail, online and delivery capabilities leader. In fact, we're one of the worldâ€™s top five online retailers.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/11a3b2fcf71fd4e2dbb5914d40f4e887,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/0d860c4977eb63d01f3c0c22de452041,John Lederer,
ba975280ef94fa11,indeed,https://www.indeed.com/viewjob?jk=ba975280ef94fa11,https://hannaford.careerswithus.com/jobs/392484_external_USA-NY-Herkimer/hannafordrms/east-herkimer/retail-operations/pt-stock-crew-nights/?utm_source=Indeed,PT Stock Crew (Nights),Hannaford,"Herkimer, NY, US",parttime,12/17/2024,direct_data,hourly,15,23,USD,FALSE,,,,,,"**Address:** USA-NY-Herkimer-401 East Albany Street
  

**Store Code:** Store 08366 Grocery (7247816)
  

  

Hannaford Supermarkets started out as a fresh produce vendor in Portland, Maine way back in 1883, and is still connected to those early roots as a local market. Hannaford actively seeks out farmers and producers to join our Local program which celebrates not only local foods, but the preservation of farmland, local traditions and local jobs. The connection we have to the source of our fresh foods is core to the way we do business, becoming the first major supermarket in the United States to document that all its seafood products were sustainably harvested.
  

  

**PRIMARY PURPOSE**  

  

* Cut, mark, and stock cases as outlined in the Center Store training guide.

  

* May unload truck, receives incoming merchandise and verifies & reports discrepancies.

  

* Greet and assist customers with finding items when asked in a courteous and friendly manner.

  

* Maintain productivity levels at or above company standards.

  

* Must be able to work with little to no supervision at times

  

**QUALIFICATIONS**  

  

* Effective communication, customer service, and selling skills.
* Must have effective interpersonal skills and desire to work in a team environment.
* Demonstrated ability and willingness to learn multiple task and technical requirements of the job.
* Must meet minimum age requirements.
* Ability and availability to work overnight or early morning shifts.

  

**Physical Requirements**  

  

* Lift up to 20 lbs. regularly, including overhead lifting, and up to 60 lbs. occasionally. Push/pull up to 40 lbs. regularly.
* Meet established volume/activity standards.
* Stand or walk 100% of the time.
* Frequent reaching, grasping and lifting individual stock items below waist level or above shoulder level.
* Frequent bending, kneeling and squatting.
* Be able to handle a variety of substances associated with cleaning materials, packaging materials and food products.
* Tolerate working in extreme hot/cold temperatures for up to 20 minutes at a time.
* Ability to use computers, calculators and communication systems required to perform the job functions.

  

**PREFERRED REQUIREMENTS**  

  

* Observe and follow all company policies and established procedures.
* Treat all co-workers with fairness, dignity, and respect.
* Maintain good communications with the management team and all other associates.
* Maintain a high standard of quality workmanship in the performance of all specific duties and responsibilities assigned.
* Comply with the companyâ€™s personal appearance policy.
* Maintain the quality of departmentâ€™s appearance and presentation.
* Maintain a clean and organized work area, both in the storage and sales floor area.
* Perform all assigned cleaning functions in accordance with company standard practices.
* Assist in training and other special projects as assigned by management.
* Process merchandise properly, paying special attention to code dates and rotation of products according to prescribed standards.
* Observe proper temperature control of all display cases, storage areas, and product.
* Support company safety standards. Communicate any needed equipment repairs or maintenance work needed.
* Perform all other duties as assigned.
* Must be able to meet physical requirements of the position, with or without reasonable accommodations.

  

Salary range is between $15.90 - $23.50 Hrly  

  

Hannaford provides equal opportunity in employment to all associates and applicants for employment without regard to race, religion, color, sex (including pregnancy, childbirth and related conditions), age, veteran status, national origin, sexual orientation, gender identity and gender expression, disability, or any other characteristic protected by law.
  

  

**Job Requisition: 392484\\_external\\_USA-NY-Herkimer**",https://www.indeed.com/cmp/Hannaford,http://www.hannaford.com,"Scarborough, ME","10,000+",$1B to $5B (USD),Hannaford is more than a grocery chain: it's where brilliant and committed associates are meeting customer needs while always being encouraged to bring their whole selves to work.,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cfcfe006052a6eb70845b15bdd7b7b6e,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/50b0fc58760034408e0725f9ba59fe58,Mike Vail,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/92dc914004a9406aa82f0fbc7bea3ff5
b6d67d538e70e120,indeed,https://www.indeed.com/viewjob?jk=b6d67d538e70e120,https://application.arla.ai/232710289683967,HHA/Pediatrics,Anchor Health Home Care,"Clifton Park, NY, US","parttime, fulltime, perdiem",12/17/2024,direct_data,hourly,18,24,USD,FALSE,,,,,,"*Caregivers are the heartbeat of our organization.*

At Anchor Home Care we understand the honor of being invited into the family circle to care for our neighborâ€™s loved ones. If youâ€™re a caregiver who wants to be able to build relationships with families in your community and provide compassionate, individualized care . . . this is your team.

If youâ€™re looking for a team that ensures the caregivers working in the community feel supported and cared for. . . then we want to hear from you.

**HHA Requirements & Key Responsibilities:**

* Valid driver's license and reliable transportation with valid insurance and registration
* Minimum age of 18.
* High school diploma or GED.
* Must be willing to travel to care for patients in homes in Albany.
* Assist clients with personal care activities, including bathing, grooming & dressing
* Preparation of meals according to dietary restrictions and preferences
* Companionship and emotional support
* Assist with daily living activities
* Interest in working with clients from diverse backgrounds and disabilities

**Benefits:**

* Competitive Compensation
* *Pediatric caseloads available Afternoon/Evening hours and 12 hour shifts on Weekends*
* Training & professional development
* Access to company-sponsored health plans
* Quick Hiring & Onboarding Process
* **Sign-on bonus: $500 after 250 hours worked**
* Benefits through union partner

Job Types: Full-time, Part-time, PRN, Per diem

Pay: $18.55 - $24.00 per hour

Benefits:

* Commuter assistance
* Dental insurance
* Flexible schedule
* Health insurance
* Paid time off
* Referral program
* Vision insurance

Medical Specialty:

* Geriatrics
* Home Health
* Pediatrics

License/Certification:

* HHA (Required)

Ability to Relocate:

* Clifton Park, NY 12065: Relocate before starting work (Required)

Work Location: In person",https://www.indeed.com/cmp/Anchor-Health-Home-Care,https://www.anchorhc.org/,"Brooklyn, NY",Decline to state,Decline to state,,,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/4fdc9b0b57343ed775b8b70ace162942,,
26343a6ca8d5953d,indeed,https://www.indeed.com/viewjob?jk=26343a6ca8d5953d,https://careers.staples.com/job/-/-/44412/74650083984,Warehouse Lean Replenishment Full Time 3rd Shift,Staples,"Montgomery, NY, US",fulltime,12/17/2024,,hourly,,,USD,FALSE,,,Retail,,,"**9:00pm-7:30am/Sunday-Wednesday (This is a 4-day 10-hour shift, however, 10 hours are not guaranteed same as 8 hours not guaranteed on 5-day 8-hour shifts.)**


**Staples is business to business**. Youâ€™re what binds us together.



Join our Staples World Class Supply Chain Team and deliver essential products to our customers.


**What youâ€™ll be doing:**



As a warehouse associate you may work in one of the following six areas:



Warehouse Bulk/Material Handling Equipment Operator: You will be operating material handling equipment such as forklifts, cherry pickers, turrets, or electric pallet jacks to pick product up to 100 lbs and move product within the warehouse while adhering to safety procedures. Not all work will be completed on Material handling equipment.



Warehouse Porter: You will be responsible for general cleaning and basic maintenance duties both inside and outside of the facility while adhering to safety procedures. You will be operating material handling equipment such as forklifts, cherry pickers, turrets, or electric pallet jacks to move product within the warehouse while adhering to safety procedures. Not all work will be completed on Material handling equipment.



Warehouse Replenishment: You will be operating material handling equipment such as forklifts, cherry pickers, turrets, or electric pallet jacks to pick product up to 100 lbs and move product within the warehouse while adhering to safety procedures. Not all work will be completed on Material handling equipment.



Warehouse Receiving/Putaway/Returns: You will confirm accuracy of product and work with colleagues to address discrepancies and damages. You will communicate effectively and professionally with internal and external contacts to clarify and resolve issues. You will be manually unloading trucks and palletizing products. You will be operating material handling equipment such as forklifts, cherry pickers, turrets, or electric pallet jacks to move product within the warehouse while adhering to safety procedures. Not all work will be completed on Material handling equipment.



Warehouse Returns: You will be operating material handling equipment to move product within the warehouse. You will be matching item quantities and descriptions to packing slips on returned items, checking in returned product and tagging it appropriate. You will be operating material handling equipment such as forklifts, cherry pickers, turrets, or electric pallet jacks to move product within the warehouse while adhering to safety procedures. Not all work will be completed on Material handling equipment.



Shipping: Youâ€™ll be responsible for organizing, stacking, and shrink-wrapping customer orders on pallets. Youâ€™ll be loading trucks manually; lifting, lowering, and carrying product in a fast-paced environment and stacking empty pallets while maintaining a safe and clean workspace as you go.



Please note, as an SC2 associate you may be moved into any of the above roles, or SC1 roles, as needed.



You will be essential to the success of Staples Supply Chain as we deliver to our customers.



Safety is our utmost priority so, in this role, we will look to you to ensure safe work practices and embrace our safety culture.


**What you bring to the table:**


* An ability to be Material Handling Equipment Operator certified and safely operate necessary material handling equipment.
* An ability and willingness to keep work area clean.
* An inclusive approach with your colleagues and customers to forge strong relationships and foster collaboration to resolve issues.
* An ability to adopt our safety procedures quickly and ensure safe work practices.
* An ability to work in a warehouse environment with seasonal temperature variations.


**Whatâ€™s needed- Basic Qualifications:**


* Minimum three (3) months related experience in a warehouse environment; or any equivalent combination of acceptable training, education, and experience.
* Ability to pass a drug screen to the extent permissible legally.
* Basic English language skills (both verbal and written communications).
* If you are hired as a Full-Time associate, you must have the ability to work additional hours beyond scheduled shift; additional overtime hours will be required based on business need.
* Ability to work at heights up to 60 feet or more as needed.
* An ability to lift, push or pull boxes/merchandise weighing between 70 pounds and 100 pounds by hand.
* Ability to walk and stand 100% of the time.
* You must be at least 18 years old.


**Whatâ€™s needed- Preferred Qualifications:**


* High School Diploma/GED or equivalent work experience.
* Prior experience operating warehouse equipment, such as forklift, pallet jack and cherry picker helpful.


*The physical demands described are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.*


**We Offer:**


* **Competitive Pay Rate: $21.40/hour + $2.00/hour Shift Differential**
* Competitive Pay.
* Inclusive culture with associate-led Business Resource Groups and resources such as the Social Justice Resource Center.
* Staples offers both Full-Time and Part-Time benefits. Some Full-Time benefits include: 112 Hours of PTO and Holiday Schedule (7 observed paid holidays + 1 floating holiday), Online and Retail Discounts, Company Match 401(k). Physical and Mental Health Wellness programs, and more!",https://www.indeed.com/cmp/Staples,https://www.staples.com/,"500 Staples Drive, Framingham, MA 01702","10,000+",more than $10B (USD),"Staples is a world-class retail, online and delivery capabilities leader. In fact, we're one of the worldâ€™s top five online retailers.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/11a3b2fcf71fd4e2dbb5914d40f4e887,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/0d860c4977eb63d01f3c0c22de452041,John Lederer,
5213a9bd843c83bb,indeed,https://www.indeed.com/viewjob?jk=5213a9bd843c83bb,https://ars2.equest.com/?response_id=903393d96450024cade44391644bc049,Production Associate - Batavia NY,Georgia-Pacific,"Batavia, NY, US",,12/17/2024,,hourly,,,USD,FALSE,,,,,,"**Your Job**
Georgia-Pacific is looking for Production Associates for our **Batavia, NY** for our corrugated sheet feeder plant!


**Salary**

* $22.00 per hour
* $1.00 Shift Differential for 2nd shift.
* $1.50 Shift Differential for 3rd shift.
* You will have the ability to increase your compensation based on skills and contribution to the overall performance of the plant.
  

  

  

**Shift*** Currently hiring for **2nd and 3rd Shift.**
* Only candidates who are flexible to be assigned to work any shift will be considered. Candidates must be flexible and available to work first, second, or third shift as needed. This will include overtime, holidays, and weekends.
* Orientation will be on **1st shift (7am-3pm** ), and you will be assigned your permanent 2nd or 3rd shift position after your orientation.

  

**Shift Hours:**  

* **2nd shift:** Monday - Friday 3pm - 11pm & **3rd shift:** Monday - Friday 11pm - 7am weekends and overtime as needed.

**Our Team**


This role is an exciting opportunity to join a close-knit team dedicated to safety at our **Batavia, NY sheet feeder plant**! This position creates value by safely assisting with the production of corrugated sheets to be made into printed boxes for our valued customers. We offer opportunities for advancement as those openings occur.  

  

**What You Will Do**

  

* Operate equipment to defined standards and product specification targets.
* Monitor and/or entry into computer control systems.
* Troubleshoot equipment to optimize production.
* Perform basic asset care duties to include routine preventative maintenance and cleaning of work area.
* Work as a team to help meet or exceed production, waste, quality, and safety goals.
* Operate and/or work around mobile equipment.
* Maintain strict adherence to safety rules and regulations, to include wearing safety equipment.
* Perform tasks such as lifting, walking, climbing, stooping, standing, pushing and/or pulling for up to twelve (12) hours a day, in a dusty, loud/noisy, and industrial, high-volume environment.

  

**What will Put You Ahead**  

* Experience in a manufacturing, industrial, agricultural, or military environment OR completion of post high school education in a manufacturing/industrial centered program
* Experience using a computer, tablet, or smart device.
* Previous experience working in a corrugated box plant.

**For this role, we anticipate paying $22.00 per hour. This role is eligible for variable pay, issued as a monetary bonus or in another form.**

At Koch companies, we are entrepreneurs. This means we openly challenge the status quo, find new ways to create value and get rewarded for our individual contributions. Any compensation range provided for a role is an estimate determined by available market data. The actual amount may be higher or lower than the range provided considering each candidate's knowledge, skills abilities, and geographic location. If you have questions, please speak to your recruiter about the flexibility and detail of our compensation philosophy.

**Hiring Philosophy**  

All Koch companies value diversity of thought, perspectives, aptitudes, experiences, and backgrounds. We are Military Ready and Second Chance employers. Learn more about our hiring philosophy here.


**Who We Are**


As a Koch company and a leading manufacturer of bath tissue, paper towels, paper-based packaging, cellulose, specialty fibers, building products and much more, Georgia-Pacific works to meet evolving needs of customers worldwide with quality products. In addition to the products we make, we operate one of the largest recycling businesses. Our more than 30,000 employees in over 150 locations are empowered to innovate every day - to make everyday products even better.


At Koch, employees are empowered to do what they do best to make life better. Learn how our business philosophy helps employees unleash their potential while creating value for themselves and the company.

**Our Benefits**


Our goal is for each employee, and their families, to live fulfilling and healthy lives. We provide essential resources and support to build and maintain physical, financial, and emotional strength - focusing on overall wellbeing so you can focus on what matters most. Our benefits plan includes - medical, dental, vision, flexible spending and health savings accounts, life insurance, ADD, disability, retirement, paid vacation/time off, educational assistance, and may also include infertility assistance, paid parental leave and adoption assistance. Specific eligibility criteria are set by the applicable Summary Plan Description, policy or guideline and benefits may vary by geographic region. If you have questions on what benefits apply to you, please speak to your recruiter.

**Equal Opportunities**  

Equal Opportunity Employer, including disability and protected veteran status. Except where prohibited by state law, all offers of employment are conditioned upon successfully passing a drug test. This employer uses E-Verify. Please visit the following website for additional information: (1) http://www.kochcareers.com/doc/Everify.pdf",https://www.indeed.com/cmp/Georgia--pacific,http://www.gp.com,"Atlanta, GA","10,000+",more than $10B (USD),"GP is among the worldâ€™s leading manufacturers and marketers of bath tissue, paper towels, napkins, tableware, paper-based packaging, cellulose, specialty fibers and building products.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/387e72e8f9a0c4f68cb3abc3615fde5a,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/c9c07791b14f7906e48b984d0ed8faa7,Christian Fischer,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/1c59c58567cda540607cea89699f717d
1fd853ff5ec08a2e,indeed,https://www.indeed.com/viewjob?jk=1fd853ff5ec08a2e,http://www.indeed.com/job/cna-certified-nursing-assistant-1fd853ff5ec08a2e,CNA - Certified Nursing Assistant,Blue Line Nursing,"Brooklyn, NY, US","parttime, fulltime, perdiem",12/17/2024,direct_data,hourly,23,27,USD,FALSE,,,,,,"**Job Summary**  
We are seeking a dedicated and compassionate Nursing Assistant to join our healthcare team. The ideal candidate will provide essential support to patients in various settings, including medical offices, urgent care facilities, and home community care. This role is vital in ensuring that patients receive high-quality care and assistance with daily activities while maintaining their comfort and dignity.

**Duties**  
- Assist patients with daily living activities such as bathing, dressing, grooming, and eating.  
- Monitor and record vital signs, including temperature, pulse, respiration, and blood pressure.  
- Provide support in medical documentation by accurately recording patient information and observations.  
- Implement aseptic techniques to prevent infection during patient care procedures.  
- Assist nursing staff in the delivery of patient care in various settings including Nursing Homes rehabilitation Centers  
- Communicate effectively with patients and their families to provide updates on care plans and address any concerns.  
- Maintain a clean and safe environment for patients by adhering to health and safety protocols.

**Skills**  
- Proficiency in caregiving practices with a strong understanding of patient needs in diverse healthcare settings.  
- Knowledge of medical office procedures and documentation practices.  
- Familiarity with urgent care protocols and home community care strategies.  
- Experience or training in pediatrics or ICU settings is a plus.  
- Strong organizational skills with the ability to manage multiple tasks efficiently.  
- Excellent communication skills to interact effectively with patients, families, and healthcare team members.

This position requires a commitment to providing compassionate care while adhering to professional standards within the healthcare environment. If you are passionate about helping others and possess the necessary skills, we encourage you to apply for this rewarding opportunity as a Nursing Assistant.

Job Types: Full-time, Part-time, Per diem

Pay: $23.00 - $27.00 per hour

License/Certification:

* CPR Certification (Required)

Work Location: In person",https://www.indeed.com/cmp/Blue-Line-Nursing,,,,,,,,,
f944049ceaa786a8,indeed,https://www.indeed.com/viewjob?jk=f944049ceaa786a8,http://www.indeed.com/job/bakerdonut-cutter-and-fryer-f944049ceaa786a8,Baker/Donut cutter and fryer,Holland Farms Bakery and Deli,"Yorkville, NY, US",fulltime,12/17/2024,direct_data,hourly,17,19,USD,FALSE,,,,,,"We are looking for a dependable candidate to work 10pm to 6am or 11-7 depending on the night, to help make donuts 5 nights per week and prepare, bake, cut, fry, and manage our delicious baked goods for a busy bakery overnight the other nights. Must be able to work independently, reliable, and responsible with a good work ethic to work among a very hard working great department.

\\*\\*\\*\\*\\*\\*\\*\\*Required: must have worked at the same job for 2 years within the last 5 years, not interested in candidates that job hop every year.

Job Type: Full-time

Pay: $17.00 - $19.00 per hour

Expected hours: 40 per week

Benefits:

* Dental insurance
* Disability insurance
* Employee assistance program
* Employee discount
* Health insurance
* Opportunities for advancement
* Paid time off
* Professional development assistance
* Retirement plan
* Store discount

Compensation Package:

* Hourly pay

Schedule:

* 8 hour shift
* Every weekend
* Night shift
* Overnight shift
* Overtime
* Weekends as needed

Work Location: In person",https://www.indeed.com/cmp/Holland-Farms-Bakery-and-Deli,,,,,,,,,
75a7db76092cd782,indeed,https://www.indeed.com/viewjob?jk=75a7db76092cd782,https://shivoony.com/join-staff#o-anon?utm_source=inlinkapp&utm_medium=ns-indeed&utm_content=comhabv4&utm_campaign=PUSH_NSU_20241211_11238,Community Habilitation Positions,Shivoo,"Brooklyn, NY, US","parttime, fulltime",12/17/2024,direct_data,hourly,22,40,USD,FALSE,,,,,,"**Join the only staffing platform for individuals with disabilities!**

**SHIVOONY.COM**

**COMMUNITY HABILITATION POSITIONS**

**Salaries up to $40.00 per hour**

* Work one on one on the goals with an individual with disabilities
* Part time or full time available â€“ ***flexible hours to fit your schedule***
* Paid time off, medical insurance, 401K
* Millage Reimbursement
* Paid Training
* **No certification needed**
* Extremely rewarding

**Shivoo is revitalizing Community Habilitation as a NEW career option** for people already working in the world of disabilities â€“ ***part time or full time*** - such as:

* Paraprofessionals at schools
* Registered Behavior Technicians
* Special Educators
* Medical Assistants
* Certified Nurse Assistants, Licensed Practical Nurse
* Registered Nurses
* Occupational Therapist Assistants - to name a few.

Community Habilitation staff is also great for anyone who has experience working with a family member with a disability or someone who has a passion to work with people with disabilities. No experience is necessary.

**With salaries up to $40.00 per hour** (and in some cases more) you can add to your current job as a part-time Community Habilitation staff person or change careers to be a full time Community Habilitation staff person with a higher salary and better benefits!

**Join Shivoo today to learn more about this NEW career option!!**

Job Types: Full-time, Part-time

Pay: $22.00 - $40.00 per hour

Expected hours: 1 â€“ 40 per week

**Benefits:**

* 401(k)
* Flexible schedule
* Health insurance
* Mileage reimbursement
* Paid time off
* Paid training

**Schedule:**

* 4 hour shift
* 8 hour shift
* Day shift
* Evening shift
* Morning shift
* Night shift
* Overnight shift

Job Types: Full-time, Part-time

Pay: $22.00 - $40.00 per hour

Expected hours: 1 â€“ 40 per week

Benefits:

* 401(k)
* Flexible schedule
* Health insurance
* Mileage reimbursement
* Paid time off
* Paid training

Schedule:

* 4 hour shift
* 8 hour shift
* Day shift
* Evening shift
* Morning shift
* Night shift
* Overnight shift

Work Location: In person",https://www.indeed.com/cmp/Shivoo,,,,,,,,,
294e0a8aedbf3f6d,indeed,https://www.indeed.com/viewjob?jk=294e0a8aedbf3f6d,https://shivoony.com/join-staff#o-anon?utm_source=inlinkapp&utm_medium=ns-indeed&utm_content=comhabv4&utm_campaign=PUSH_4_FAMILY_JP_Katonah_10536,Community Habilitation Positions,Shivoo,"Katonah, NY, US","parttime, fulltime",12/17/2024,direct_data,hourly,22,40,USD,FALSE,,,,,,"**Join the only staffing platform for individuals with disabilities!**

**SHIVOONY.COM**

**COMMUNITY HABILITATION POSITIONS**

**Salaries up to $40.00 per hour**

* Work one on one on the goals with an individual with disabilities
* Part time or full time available â€“ ***flexible hours to fit your schedule***
* Paid time off, medical insurance, 401K
* Millage Reimbursement
* Paid Training
* **No certification needed**
* Extremely rewarding

**Shivoo is revitalizing Community Habilitation as a NEW career option** for people already working in the world of disabilities â€“ ***part time or full time*** - such as:

* Paraprofessionals at schools
* Registered Behavior Technicians
* Special Educators
* Medical Assistants
* Certified Nurse Assistants, Licensed Practical Nurse
* Registered Nurses
* Occupational Therapist Assistants - to name a few.

Community Habilitation staff is also great for anyone who has experience working with a family member with a disability or someone who has a passion to work with people with disabilities. No experience is necessary.

**With salaries up to $40.00 per hour** (and in some cases more) you can add to your current job as a part-time Community Habilitation staff person or change careers to be a full time Community Habilitation staff person with a higher salary and better benefits!

**Join Shivoo today to learn more about this NEW career option!!**

Job Types: Full-time, Part-time

Pay: $22.00 - $40.00 per hour

Expected hours: 1 â€“ 40 per week

**Benefits:**

* 401(k)
* Flexible schedule
* Health insurance
* Mileage reimbursement
* Paid time off
* Paid training

**Schedule:**

* 4 hour shift
* 8 hour shift
* Day shift
* Evening shift
* Morning shift
* Night shift
* Overnight shift

Job Types: Full-time, Part-time

Pay: $22.00 - $40.00 per hour

Expected hours: 1 â€“ 40 per week

Benefits:

* 401(k)
* Flexible schedule
* Health insurance
* Mileage reimbursement
* Paid time off
* Paid training

Schedule:

* 4 hour shift
* 8 hour shift
* Day shift
* Evening shift
* Morning shift
* Night shift
* Overnight shift

Work Location: In person",https://www.indeed.com/cmp/Shivoo,,,,,,,,,
f34ff881db8f80f6,indeed,https://www.indeed.com/viewjob?jk=f34ff881db8f80f6,http://www.indeed.com/job/pca-personal-care-assistant-12-hour-shifts-f34ff881db8f80f6,PCA Personal Care Assistant (12 Hour Shifts),Blossom Home Care - Hudson Valley ,"Peekskill, NY, US","parttime, fulltime",12/17/2024,,hourly,,,USD,FALSE,,,,,,"**Peekskill, NY 12 hour shifts available starting January 2025.** 

**Please read the job description before applying. Serious inquiries only!!**

***Only apply if you are committed to complete the onboarding process quickly!***

Blossom Home Care is seeking **reliable, compassionate and dedicated** PCA's & HHA's caregivers to join our team. As a caregivers, you will provide essential care and support to individuals in their homes. This is a rewarding opportunity to make a positive impact on the lives of others.

Responsibilities:  
- Assist clients with activities of daily living, including bathing, dressing, and grooming  
- Prepare meals and ensure dietary needs are met  
- Provide companionship and engage in meaningful conversations with clients  
- Assist with mobility and transfers, including the use of lifting equipment if required  
- Provide specialized care for clients with dementia or memory care needs  
- Maintain a clean and safe environment for clients

Experience:  
- Previous experience as a PCA & HHA or similar role is a must  
- Familiarity with providing care for clients with dementia or memory care needs is beneficial  
- Basic cooking skills to prepare nutritious meals for clients

If you are a compassionate individual who enjoys helping others, we would love to hear from you. Join our team as a caregiver and make a difference in the lives of those in need.

Job Types: Full-time, Part-time

Pay: From $20.00 per hour

Expected hours: No less than 20 per week

Benefits:

* Paid sick time
* Paid time off

License/Certification:

* HHA or PCA Certificate (Required)

Ability to Commute:

* Peekskill, NY 10566 (Required)

Work Location: In person",https://www.indeed.com/cmp/Blossom-Home-Care---Hudson-Valley,,,,,,,,,
