"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"313f1d0b8ac8657f","indeed","https://in.indeed.com/viewjob?jk=313f1d0b8ac8657f","http://in.indeed.com/job/crew-member-313f1d0b8ac8657f","Crew Member","Kongsi Tea Bar","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","Preferred experience in brands like Smoor, Mcdonalds, KFC, Smoor etc.

We are seeking a friendly, reliable, and competent crew member to join our vibrant company. You will be responsible for helping the company to achieve its goals and targets. Your duties may include assisting customers and answering their questions, preparing and following checklists, collaborating with co-workers and management, completing daily tasks, and complying with safety and security regulations.

**Responsibilities:**

* Work and communicate effectively with co-workers and management.
* Arrive for your shift on time.
* Respond to questions, concerns, and complaints from customers, vendors, or clients.
* Good with speed of service and beverage preparation.
* Escalate any problems or complaints to the relevant supervisor or manager.
* Prioritize important tasks and manage your time effectively.
* Store cleanliness and hygiene maintenance.
* Maintain professionalism and a positive attitude.

**Requirements:**

* High school diploma with relevant experience.
* Further training may be required.
* Friendly, reliable, and punctual.
* Strong communication skills.
* Physically fit and able to work on your feet for long periods.
* Ability to work irregular hours (day and night shifts).
* Enjoy working with people.

Job Types: Full-time, Permanent, Fresher

Pay: ₹13,000.00 - ₹18,000.00 per month

Benefits:

* Provident Fund

Schedule:

* Rotational shift
* Weekend availability

Supplemental Pay:

* Overtime pay

Experience:

* total work: 1 year (Preferred)

Work Location: In person

Expected Start Date: 14/09/2024","https://in.indeed.com/cmp/Kongsi-Tea-Bar","","","","","","","","",""
"bfd3db791c7d08b4","indeed","https://in.indeed.com/viewjob?jk=bfd3db791c7d08b4","http://in.indeed.com/job/technical-support-engineer-bfd3db791c7d08b4","Technical Support Engineer","EduRun Virtuoso Services","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","About the job

* Strong understanding of computer systems, networks, and software applications.
* Excellent communication and interpersonal skills.
* Ability to work independently and as part of a team.
* Strong problem-solving skills and attention to detail.
* Knowledge of Networking is a plus.
* Troubleshooting Hardware / Networking/OS related queries of our global customers Over Phone which involves working in different time zones .
* Diagnose and resolve software and hardware issues.
* Take calls from Global customers and initiate the right response to them, positively and professionally
* Willing to work rotational shift(including night shifts) Excellent written & spoken communication skills

Job Type: Full-time

Pay: ₹250,000.00 - ₹300,000.00 per year

Shift:

* Day shift

Work Location: In person","https://in.indeed.com/cmp/Edurun-Virtuoso-Services","","","","","","","","",""
"e89d3b16bf010e2b","indeed","https://in.indeed.com/viewjob?jk=e89d3b16bf010e2b","https://tnl2.jometer.com/v2/job?jz=581jndb05b3e9a2fccdd9392d48b83b9798c4DQAAKAAAAABQ&utm_source=joveo&publisher=Indeed-organic","Senior Securities Operations Representative","Wells Fargo","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","**About this role:**  

  

Wells Fargo is seeking a Senior Securities Operations Representative  

  

**In this role, you will:*** Perform a variety of operational tasks for complex securities or process extensive knowledge of systems
* Provide ideas for improving or implementing processes
* Perform moderately complex duties such as processing, researching inquires and reconciling transactions
* Review time sensitive documents
* Provide training or work direction to less experienced staff
* Address compliance and corporate governance issues for the department
* Lead or participate in projects
* Collaborate and consult with peers, colleagues and managers to resolve issues and achieve goals
* Interact with internal customers
* Receive direction from leaders and exercise independent judgment while developing the knowledge to understand function, policies, procedures, and compliance requirements

**Required Qualifications:*** 4+ years of Securities Operations experience, or equivalent experience demonstrated through one or a combination of the following: work experience, training, military experience, education

**Desired Qualifications:*** BCOM/BBM/MCOM/MBA with 4+ years of experience in Capital markets

**Job Expectations:*** Flexible to work in Night Shift (5.30 PM IST to 2.30 AM IST)
* Location: Bangalore

**Posting End Date:**
  

  

**\\*Job posting may come down early due to volume of applicants.**
  

  

**We Value Diversity**  

  

At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.  

  

Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.  

  

Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other legally protected characteristic.  

  

Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process.  

  

**Applicants with Disabilities**  

  

To request a medical accommodation during the application or interview process, visit Disability Inclusion at Wells Fargo .  

  

**Drug and Alcohol Policy**  

  

Wells Fargo maintains a drug free workplace. Please see our Drug and Alcohol Policy to learn more.  

  

**Wells Fargo Recruitment and Hiring Requirements:**  

  

a. Third-Party recordings are prohibited unless authorized by Wells Fargo.  

  

b. Wells Fargo requires you to directly represent your own experiences during the recruiting and hiring process.","https://in.indeed.com/cmp/Wells-Fargo","https://www.wellsfargojobs.com/en/well-life/","San Francisco, CA","10,000+","more than $10B (USD)","Wells Fargo India enables global talent capabilities for Wells Fargo Bank NA., by supporting business lines and staff functions across technologies. We are operating in Hyderabad, Bengaluru & Chennai.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c8197e12173ed0ba5522dee9270cd833","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/3efaed5d72efb79705c5433299ae2b84","Charlie Scharf, CEO and President","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/37bca88e561f55969a6a51885eca1f9a"
"2d4b9699cf408f8c","indeed","https://in.indeed.com/viewjob?jk=2d4b9699cf408f8c","https://tnl2.jometer.com/v2/job?jz=581jn57927029dde355bbc36539d22daf4e0fDQAAKAAAAABQ&utm_source=joveo&publisher=Indeed-organic","Securities Operations Representative","Wells Fargo","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","**About this role:**  

  

Wells Fargo is seeking a Securities Operations Representative  

  

**In this role, you will:*** Perform various operational tasks on complex securities that require general knowledge of unit functions and systems
* Support securities operations
* Identify ways to improve the overall process
* Perform moderately complex duties such as processing, researching inquires and reconciling transactions
* Review time sensitive documents
* Receive direction from supervisor and coordinate situations involving other departments
* Collaborate and consult with peers, colleagues and managers to resolve issues and achieve goals
* Interact with internal customers
* Receive direction from leaders and exercise independent judgment while developing the knowledge to understand function, policies, procedures, and compliance requirements

**Required Qualifications:*** 2+ years of Securities Operations experience, or equivalent experience demonstrated through one or a combination of the following: work experience, training, military experience, education

**Desired Qualifications:*** BCOM/BBM/MCOM/MBA with 2+ years of experience in Capital markets (Equities & Bonds)

**Job Expectations:*** Flexible to work in Night shift (5.30 PM IST to 2.30 PM IST)
* Location: Bangalore

**Posting End Date:**
  

  

**\\*Job posting may come down early due to volume of applicants.**
  

  

**We Value Diversity**  

  

At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.  

  

Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.  

  

Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other legally protected characteristic.  

  

Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process.  

  

**Applicants with Disabilities**  

  

To request a medical accommodation during the application or interview process, visit Disability Inclusion at Wells Fargo .  

  

**Drug and Alcohol Policy**  

  

Wells Fargo maintains a drug free workplace. Please see our Drug and Alcohol Policy to learn more.  

  

**Wells Fargo Recruitment and Hiring Requirements:**  

  

a. Third-Party recordings are prohibited unless authorized by Wells Fargo.  

  

b. Wells Fargo requires you to directly represent your own experiences during the recruiting and hiring process.","https://in.indeed.com/cmp/Wells-Fargo","https://www.wellsfargojobs.com/en/well-life/","San Francisco, CA","10,000+","more than $10B (USD)","Wells Fargo India enables global talent capabilities for Wells Fargo Bank NA., by supporting business lines and staff functions across technologies. We are operating in Hyderabad, Bengaluru & Chennai.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c8197e12173ed0ba5522dee9270cd833","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/3efaed5d72efb79705c5433299ae2b84","Charlie Scharf, CEO and President","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/37bca88e561f55969a6a51885eca1f9a"
"5c68c3c878575caa","indeed","https://in.indeed.com/viewjob?jk=5c68c3c878575caa","http://in.indeed.com/job/microbiologist-junior-5c68c3c878575caa","Microbiologist-Junior","Bioline Laboratory","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","**RESPONSIBILITIES & DUTIES**

* Adheres to policy on proper dress code and Universal Precautions (PPE) always
* Keeps the department neat, clean and well stocked with supplies for sample processing.
* Aware and prepare hypochlorite solution (0.1% for workbench and 0.5% for sharp disposal) daily as per lab safety policy.
* Segregation and safe disposal of biomedical waste.
* Records and maintains forms and records of the department and submit for verification.
* During the shift changes technician should take over, all the duties & responsibilities from previous technical team/check the handed over register.
* Maintenance of UV usage in the laminar air flow chamber in the department.
* Performing the overall sterility check in the laboratory & reporting to the department Incharge.
* Coordinates workflow/workload as necessary to ensure timely reporting of results.
* Cleaning of work bench and providing maintenance for all equipments as per recommendation.
* Updation of all basic documentation (forms and records) in the department.
* Receiving and segregating samples for processing .
* Perform QC check for staining, new reagent/antibiotic disc/media.
* Perform sample inoculation/streaking, smear preparation, staining & submit to microscopic observation..
* Ensure and maintain the stock in dept for smooth flow
* Aware & Check the Pending samples in LIS & take responsibility to release the reports.
* Assisting documentation to senior technician and maintenance of QMS documents.
* Report any non-conformance related to technical activities to their respective DIC.
* Rising of material Indent to stores.
* Receiving, inspections of kits and consumables and storage of reagents and consumable in department.
* Ensure that patient confidentiality is maintained at all times.
* Participate in all training and continual improvement programmes of the department.
* Act as auditee during internal audit of the lab.
* Maintain work ethics and team building in the department.
* Handles and maintain equipments in department during processing.

· Involved in corrective action against the nonconformance observed in the department..

· Aid in implementation and educating the quality management system & procedure

Job Type: Full-time

Pay: From ₹15,000.00 per month

Benefits:

* Paid sick time
* Provident Fund

Schedule:

* Day shift
* Night shift

Education:

* Master's (Preferred)","https://in.indeed.com/cmp/Bioline-Laboratory-4","","","","","","","","",""
"c1f96fda802201a1","indeed","https://in.indeed.com/viewjob?jk=c1f96fda802201a1","https://lseg.wd3.myworkdayjobs.com/en-US/Careers/job/IND-Bangalore-TowerERMZ-Infin/Associate-Content-Analyst_R0092959","Associate Content Analyst","LSEG (London Stock Exchange Group)","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","Company Fundamentals is one of the key verticals within Company Data. The vertical is responsible for providing financial information on companies across the globe. Financial information for the clients would basically mean presenting financial statements as reported by the companies to the clients. The day-to-day responsibility would mean updating Balance Sheet, Income Statement and Cash Flow Statement, including footnote items and business, geographic and pension related segments in the database which would be key input to generate the ratio analytics and eventually flow on to the products. The data collection process would be completely governed by internal policies of LSEG. The entire updates would need to be performed within the set timelines and with encouraged standards of accuracy.  

Major Responsibilities / Accountabilities:* Process and maintain data accurately and in a timely manner onto databases.
* Ensure data accuracy, timeliness and completeness are maintained as per company standards
* Developing expertise through continuous learning and development. Build up knowledge of financial regulations and market practices/conventions in relevant markets.
* Enhance usage of available tools/support to best of advantage to maintain/improve content quality during daily operations.
* Enforce multifaceted process/MoW changes, data operations standards and current data policies & procedures.
* Responsible for delivering high efficiency and quality data as per encouraged performance standards.
* Proactively identify, advance and resolve data problems.
* Communicate & liaise with internal and external departments for resolution of data queries as per established process.
* Test new database/application releases where appropriate, providing expert user feedback

  

Required skills and experience:* Sound understanding of accounting concepts
* Should and be able to interpret the correlation between financial statements and know what these statements mean, what all components do they have etc.
* Should have knowledge on IFRS GAAP, experience in Financial markets
* Should have experience in doing deep research and should have an eye for detail
* Technical /Professional Skills including being proficient in using outlook, excel, Teams
* Should be a very quick learner and should display high level of agility.
* Should have good communication skills – written and verbal.
* Should be able to work under pressure and manage multiple tasks and flexible to work extended hours depending upon business requirements.
* Should be flexible enough to work in different shifts at different points in time and this would include night shifts

  

* Certifications / Education.
* Any Bachelor's or Equivalent degree with accounts and financial knowledge


LSEG is a leading global financial markets infrastructure and data provider. Our purpose is driving financial stability, empowering economies and enabling customers to create sustainable growth.
Our purpose is the foundation on which our culture is built. Our values of Integrity, Partnership, Excellence and Change underpin our purpose and set the standard for everything we do, every day. They go to the heart of who we are and guide our decision making and everyday actions.
Working with us means that you will be part of a dynamic organisation of 25,000 people across 65 countries. However, we will value your individuality and enable you to bring your true self to work so you can help enrich our diverse workforce. You will be part of a collaborative and creative culture where we encourage new ideas and are committed to sustainability across our global business. You will experience the critical role we have in helping to re-engineer the financial ecosystem to support and drive sustainable economic growth. Together, we are aiming to achieve this growth by accelerating the just transition to net zero, enabling growth of the green economy and creating inclusive economic opportunity.
LSEG offers a range of tailored benefits and support, including healthcare, retirement planning, paid volunteering days and wellbeing initiatives.
We are proud to be an equal opportunities employer. This means that we do not discriminate on the basis of anyone’s race, religion, colour, national origin, gender, sexual orientation, gender identity, gender expression, age, marital status, veteran status, pregnancy or disability, or any other basis protected under applicable law. Conforming with applicable law, we can reasonably accommodate applicants' and employees' religious practices and beliefs, as well as mental health or physical disability needs.
Please take a moment to read this privacy notice carefully, as it describes what personal information London Stock Exchange Group (LSEG) (we) may hold about you, what it’s used for, and how it’s obtained, your rights and how to contact us as a data subject.
If you are submitting as a Recruitment Agency Partner, it is essential and your responsibility to ensure that candidates applying to LSEG are aware of this privacy notice.","https://in.indeed.com/cmp/Lseg-(london-Stock-Exchange-Group)-1","http://www.lseg.com","London, England","10,000+","$1B to $5B (USD)","LSEG (London Stock Exchange Group) is more than a diversified global financial markets infrastructure and data business.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/7580b57e6938a23f3c42fc7902211969","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/a371e67d012e657ad5ad9a1eda87cc76","David Schwimmer","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/91c8ce7e55f11162128bc50cdedad357"
"6d1107816e4aaf70","indeed","https://in.indeed.com/viewjob?jk=6d1107816e4aaf70","http://in.indeed.com/job/front-office-executive-6d1107816e4aaf70","Front Office Executive","Bioline Laboratory","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","**RESPONSIBILITIES & DUTIES**

· To welcome all the visitors with smile and proper greetings and with warm welcome and guide them properly as per their requirements.

* Promptly, accurately, professionally and courteously receives and assesses all the incoming telephone calls /inquiries and re-directs the said call or message to its appropriate beneficiary.

· Responds to changes in work schedules as necessary or as requested to work a different work shift when workload and / or other conditions

· Maintain confidentiality of patient information and should not solicit nor accept tips, gifts or other courtesies from patients or their relatives.

· Reception work bench cleaning

· Verifying and updation of daily cleaning checklist

· Previous day pending ledger follow-up

· Updating of daily reports to management

· Patient registration/due closing

· Report dispatch via phone/mail to patients

· Petty cash balancing and collection amount settlement to account department

· Informing critical alert to patients and documenting the same

· Resolving quires via phone/direct

· Updating of all front office documents

· Stock maintenance and indent

· Receiving and dispatching of courier parcel and documenting the same

Job Type: Full-time

Pay: From ₹16,000.00 per month

Benefits:

* Paid sick time
* Provident Fund

Schedule:

* Day shift
* Night shift
* Rotational shift

Education:

* Diploma (Preferred)

Experience:

* PRO/Front Office: 1 year (Preferred)

Language:

* Kannada (Preferred)
* English (Preferred)","https://in.indeed.com/cmp/Bioline-Laboratory-4","","","","","","","","",""
"97c7cd0f189956fe","indeed","https://in.indeed.com/viewjob?jk=97c7cd0f189956fe","http://in.indeed.com/job/front-office-executive-receptionist-97c7cd0f189956fe","Front Office Executive (Receptionist)","medax hospitals","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","* Reception: Managing the reception area and keeping it neat and tidy
* Billing : OP,IP and Insurance.
* Greeting: Welcoming visitors and clients in a professional and courteous manner
* Phone: Answering calls, taking messages, and redirecting them to the appropriate department
* Mail: Handling incoming and outgoing mail and packages
* Records: Maintaining and organizing files and records, and updating them as needed
* Documents: Creating and maintaining updated documents and spreadsheets
* Office equipment: Operating office equipment like printers and photocopiers
* Bookkeeping: Bookkeeping and issuing invoices
* Meeting minutes: Recording meeting minutes and dictations
* Supplies: Keeping track of office supplies and ordering more when needed
* Expenses: Monitoring office expenses and costs
* Other duties: Taking on other duties as assigned, such as travel arrangements or schedules

Job Type: Full-time

Pay: ₹14,000.00 - ₹25,720.68 per month

Schedule:

* Day shift
* Morning shift
* Night shift
* Rotational shift

Supplemental Pay:

* Overtime pay

Experience:

* total work: 1 year (Preferred)

Work Location: In person","https://in.indeed.com/cmp/Medax-Hospitals","","","","","","","","",""
"4d8fbb5ac67db9e2","indeed","https://in.indeed.com/viewjob?jk=4d8fbb5ac67db9e2","http://in.indeed.com/job/international-business-development-executive-4d8fbb5ac67db9e2","International Business Development Executive","Bangalore Job Hub","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","**Position: International Business Development Associate (BDA)**

**(Note need international outbound B2B sales experiance mandatery)**

**Salary upto 65000 max**

**Responsibilities:**

* **Conduct outbound cold calls to international businesses within the B2B sector, introducing our products/services and identifying sales opportunities.**
* **Utilize your excellent communication skills to engage prospects, build relationships, and understand their needs to offer tailored solutions.**
* **Drive hard-core sales efforts by effectively pitching our offerings, negotiating terms, and closing deals to achieve sales targets.**
* **Implement cross-selling and upselling strategies to maximize revenue from existing clients and expand our business footprint.**
* **Maintain accurate records of all sales activities, leads, and customer interactions in the CRM system.**
* **Collaborate closely with the sales team to share insights, strategies, and best practices for continuous improvement.**
* **Qualifications:**
* **Minimum of 2 years of experience in international sales, with a proven track record of success.**
* **Strong skills in cold calling, lead generation, hard-core sales, cross-selling, and upselling within the B2B sector.**
* **Excellent communication skills, both verbal and written, with the ability to effectively articulate value propositions and negotiate terms.**
* **Ability to work in rotational shifts and a 5-day work week with 2 days off.**
* **Results-oriented mindset with a passion for driving business growth and exceeding targets.**
* **Salary: 60,000 (negotiable based on experience)**

**Join our team and play a key role in driving our business development efforts. Apply now and take the next step in your sales career with us!**

Job Type: Full-time

Pay: ₹55,000.00 - ₹60,000.00 per month

Benefits:

* Health insurance
* Provident Fund

Schedule:

* Monday to Friday
* Night shift

Supplemental Pay:

* Performance bonus

Education:

* Higher Secondary(12th Pass) (Preferred)

Experience:

* International Business development: 1 year (Required)
* International B2B sales: 1 year (Required)
* International outbound sales: 1 year (Required)

Work Location: In person","https://in.indeed.com/cmp/Bangalore-Job-Hub","","","","","At Bangalore Job Hub, we don’t just find jobs; we create pathways to dreams. Here’s why our candidates thrive: Bangalore Job Hub (BPO Job Placement) Jayanagar 9th Block 500+ reviews Rating 4.9 ⭐⭐⭐⭐⭐","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/ec300d5199499e861401e04505293323","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/6bafa0e3f2d0f1fbd97a37287f924db7","",""
"8e1d61b4f81e69bd","indeed","https://in.indeed.com/viewjob?jk=8e1d61b4f81e69bd","http://in.indeed.com/job/trainee-cyclotron-operations-8e1d61b4f81e69bd","Trainee - Cyclotron Operations","FDI Care","KA, IN","fulltime","2024-09-11","","","","","",False,"","","","","","**Requirements**

Any of the below qualifications:

* DMRIT
* M. Sc. (Nuclear Medicine)
* Diploma or Bachelor's in Nuclear Medicine Technology
* Diploma in Engineering (Electrical /Mechanical/Instrumentation/Bio-medical)
* B.Sc. (Physics)
* B. Sc. (Chemistry or Biochemistry)/B. Pharm.

Familiarity with cyclotron operations will be a plus, and will be rewarded appropriately.

We are looking for a team-player who is comfortable in night operations, and is looking to learn .

**About**  
FDI Care is one of the pioneers of radiopharmaceuticals in India, starting out in 2008. It is the largest Cyclotron Facility in the country and the only facility in India with 2 cyclotrons. We are looking for cyclotron operator and radiochemist for our state-of-the-art facility, which will involve on-the-job training and prepare you for the daily operations.

With a management team made up of the founder - a renowned oncologist based in the US, esteemed alumni of Bhabha Atomic Research Centre, FDI Care is known in the industry as a reliable and trustworthy partner to Nuclear Medicine Departments across the country.

We offer professionals the opportunity to face new challenges and pursue a career in a fast growing, technology driven healthcare company. We are looking for people who share our passion to provide effective radiopharmaceutical solutions to life-threatening diseases.

Job Type: Full-time

Pay: ₹35,000.00 onwards per month

Benefits:

* Health insurance
* Night Refreshments

Schedule:

* Primarily Night shift, with partial rotation to day shift

The Production team works primarily in the to ensure hospitals are supplied with radiopharmaceuticals in the morning, which are used for diagnosis of cancer and other ailments.

Expected Start Date: 01/10/2024

Job Type: Full-time

Pay: From ₹35,000.00 per month

Benefits:

* Food provided
* Health insurance
* Provident Fund

Schedule:

* Night shift
* Rotational shift
* Weekend availability

Work Location: In person

Expected Start Date: 01/10/2024","https://in.indeed.com/cmp/Fdi-Care-1","","","","","","","","",""
