"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"466fbe90484af507","indeed","https://www.indeed.com/viewjob?jk=466fbe90484af507","http://www.indeed.com/job/caregiver-466fbe90484af507","Caregiver","Gracious Hearts Home Care","Houston, TX, US","parttime, fulltime","2024-09-11","direct_data","hourly",13.0,15.0,"USD",False,"","","","","","The primary function of a Caregiver is to assist the client with companionship, meal preparation, laundry, light housekeeping and transportation.

COMPANIONSHIP Provide clients with respectful, friendly interactions. Assist the client with their hobbies or crafts as requested. Caregivers also help clients with any reading or writing activities as needed or requested. Provide appropriate companionship services when assisting with social and/or entertaining activities.

MEAL PREPARATION Provide assistance with grocery shopping, meal planning and preparation as deemed appropriate in the Client’s Plan of Care.

LAUNDRY Provide laundry assistance, washing and drying clothes and linens using the client’s washing machine and dryer. Certain items may need to be hand washed.

IRON. LIGHT HOUSEKEEPING Kitchen: Dishes for 1-2 people, clean counters, sweep/vacuum floor, mop/wash floor, take trash/recyclables out, and clean refrigerator. It also includes wiping down the oven/stove/microwave, etc. Bathroom: Wipe surfaces: rim of tub, sinks and toilet, mirrors. Sweep/mop/vacuum floors. Living Room: Dust Furniture, sweep/mop/vacuum floor and tidy up the area. Bedrooms: Make beds, change linens, dust furniture, vacuum floors and tidy up the area. DO NOT: Move furniture to vacuum; Pick up trinkets to dust – feather duster or Swiffer only; Spot clean floors/tile/curtains; Clean windows, baseboards or ceiling fans. Do not operate steam cleaners, lawn mowers, weed eaters, power washers; OTHER Run errands and provide transportation to the Client as outlined in the Client’s Plan of Care. Also, monitor Client’s home and assist in making arrangements for any maintenance needs.

PERSONAL ASSISTANCE SERVICES This consists of all of the above, plus assistance with a client’s personal grooming and hygiene. These services include assistance with bathing/showering, dressing, help with physical movement, transferring from one location to another, exercise, feeding, toileting and routine care of hair and skin.

Job Types: Full-time, Part-time

Pay: $13.00 - $15.00 per hour

Expected hours: 20 – 39 per week

Benefits:

* Dental insurance
* Flexible schedule
* Vision insurance

Schedule:

* 12 hour shift
* 8 hour shift
* Evening shift
* Night shift
* Overnight shift
* Weekends as needed

Experience:

* Caregiving: 2 years (Required)

Shift availability:

* Day Shift (Required)
* Night Shift (Preferred)
* Overnight Shift (Preferred)

Ability to Relocate:

* Houston, TX: Relocate before starting work (Required)

Work Location: In person","https://www.indeed.com/cmp/Gracious-Hearts-Home-Care","https://www.graciousheartshc.com","305 FM 517 RD E, SUITE A
DICKINSON, TX    77539","","","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3385263bb3f1e470566e63c3ce5c5362","","",""
"e366de936f4f1235","indeed","https://www.indeed.com/viewjob?jk=e366de936f4f1235","http://www.indeed.com/job/injection-molding-tech-mechanic-asst-e366de936f4f1235","Injection Molding Tech/ Mechanic Asst","Us Merchants","Houston, TX, US","fulltime","2024-09-11","direct_data","hourly",16.0,18.0,"USD",True,"","","","","","Hands on technician for startup, processing & maintaining our Injection Molding Machines and associated equipment;

Processing and handling of polypropylene;

Perform work as specified;

Analyze & repair machine issues as they arise;

Perform all preventative maintenance requirements for machines and related devices;

Maintain a safe & clean working environment by complying with procedures, rules & regulations. Document actions by completing maintenance and quality forms;

Verify that connected automated systems are set to regulation parameters;

As required, clean, smooth and position molds and cores;

Set-up and operate machines, read blueprints, and measure product with calipers;

Troubleshoot Injection Molding Machines and equipment;

Troubleshooting tasks might include, but not be limited to, analyzing faulty equipment, human error and preventing defects from occurring;

Operation of forklift as required;

Other related assignments as required;

SKILLS / QUALIFICATIONS

Manufacturing Experience, Manufacturing Quality, Safety Management, Quality Focus, Production Planning;

Independence, Reporting Skills, Automated Manufacturing.

Certification or experience in Electrical Technology, Mechanical Maintenance is desirable;

Prior experience with Injection Molding Equipment a plus. Hourly pay based on experience.'  
'  
Work Remotely

* No

Job Type: Full-time

Pay: $16.50 - $18.00 per hour

Benefits:

* Health insurance

Schedule:

* 8 hour shift
* Day shift
* Night shift
* Overnight shift
* Weekends as needed

Experience:

* Manufacturing: 2 years (Required)

Work Location: In person","https://www.indeed.com/cmp/US-Merchants","","","","","US Merchants is the top provider of packaging, display, & molded storage crates. We design, manufacture & deliver custom packaging, merchandising display solutions, and molded plastic merchandise.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/1c0a43b5c4e12655267a93c9b70d6e48","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/f6029f2aa476e6e1a10c0c55d15bb663","",""
"edf734f04c14d1c2","indeed","https://www.indeed.com/viewjob?jk=edf734f04c14d1c2","http://www.indeed.com/job/stock-associate-part-time-seasonal-highland-village-williams-sonoma-edf734f04c14d1c2","Stock Associate, Part-time Seasonal, Highland Village Williams Sonoma","Williams-Sonoma, Inc.","Houston, TX, US","temporary, parttime","2024-09-11","","hourly","","","USD",False,"","","Retail","","","We’re Hiring! Join Williams-Sonoma, Inc. brands this holiday season as a Stock Associate. Who wouldn’t want to receive a 40% off employee discount on in-store purchases this holiday season? On top of that, we have competitive pay and standardized holiday hours. Read more on the team and position below. Interested? Come visit or call our store. We’d love to meet you.

About the Team

Our mission is to enhance the quality of our customers’ lives at home. We put the customer at the center of everything we do, every day. Our corporate values that guide our actions and decisions are our People First culture, customers, quality, shareholders, integrity, and corporate responsibility.

Responsibilities

· Fulfill customer online orders for Ship from Store (SFS) through efficient picking, packing and processing.

· Process incoming shipment to ensure product availability for order fulfillment.

· Build brand loyalty by getting product quickly to the customer and protecting purchases with proper packing.

Physical Requirements

· Must be able to be mobile for extended periods of time.

· Must be able to lift and mobilize medium to large items, up to 50 lbs., while utilizing appropriate equipment and safety techniques.

· Availability that aligns with the needs of the business (early morning and late night shifts are also available for these roles).

Our Mission Around Diversity, Equity & Inclusion

We firmly believe that working in a culture focused on diversity, equity, and inclusion spurs innovation, creates healthy and high-performing teams, and delivers superior customer experiences. We will create and nurture a global company culture where we confidently bring our authentic selves to work every day: where the only criteria for advancement are the quality of our work, the contributions we make to our teams and the business, and our ability to lead; and where our individual differences—whatever they may be—are valued, explored and appreciated.

Job Types: Part-time, Temporary

Pay: $16.00 per hour

Expected hours: 15 – 35 per week

Benefits:

* Employee discount

People with a criminal record are encouraged to apply

Education:

* High school or equivalent (Preferred)

Work Location: In person","https://www.indeed.com/cmp/Williams--sonoma,-Inc.","https://www.williams-sonomainc.com/","3250 Van Ness Ave.
San Francisco, CA 94109","10,000+","$5B to $10B (USD)","Founded in 1956, Williams-Sonoma, Inc. is the premier specialty retailer of high-quality products for the home.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4fb035b20e3358262a3db41c8950e62d","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/e0d14b0dbe5daa69418bfd0026fc2593","Laura Alber","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/52a2262821753efe985bba0f2bb1e90a"
"7822be13f65ec87f","indeed","https://www.indeed.com/viewjob?jk=7822be13f65ec87f","http://www.indeed.com/job/front-office-manager-7822be13f65ec87f","Front Office Manager","Holiday Inn Westway Park Houston","Houston, TX, US","fulltime","2024-09-11","","yearly","","","USD",False,"","","","","","Principal Responsibilities:

Oversee the efficient operation of the front desk department in selling of guest rooms to accommodate guest needs and maximize revenue.

Essential Functions:

· Monitors and analyzes Rooms Inventory utilizing Yield Management to maximize occupancy and increase average rate. This includes monitoring of Group Blocks, determining cut off dates, and Rate Restrictions.

· Processes and handles group rooming lists, reservations, and employee reservations requests by inputting data into the reservations system.

· Trains, and supervises reservation agents for the efficient operation of the department. Monitors performance and gives feedback according to established standards.

· Calculates and prepares Rooms Reports to include OAR and Master Monthly to determine sources of business using various computer systems.

· Assists in the development and revisions of forecasts for the Rooms Department, both monthly and annually.

SUPPORTIVE FUNCTIONS

In addition to performance of the essential functions, this position may be required to perform a combination of the following supportive functions, with the percentage of time performing each function to be solely determined by the supervisor based upon the particular requirements of the company.

· Calculation, monitoring, and transmission of loyalty program points.

· Assist in the capacity of reservations agent when needed.

· Initiate and prepare reports as required.

· Assist office in any other administrative duties as needed.

PHYSICAL REQUIREMENTS:

Below is a listing of the physical requirements for standard performance of this job:

Frequency Key: Rare, Occasional, Frequent, or Constant

Physical Activity Frequency

Sitting Frequent

Walking, Standing Frequent

Climbing Stairs Occasional

Crouching/Bending/Stooping Frequent

Reaching Frequent

Grasping Constant

Pushing/Pulling Frequent

Near Vision Constant

Far Vision Constant

Hearing Constant

Talking Frequent

Smelling Rare

Lifting/Carrying (20 lbs.) Occasional

Travel Rare

OTHER DUTIES

Assimilate into the Packard culture through understanding, supporting and participating in all elements of corporate policies. Demonstrate working knowledge of the service standards.

Regular attendance in conformance to the standards, which may be established by Packard from time to time, is essential to the successful performance of this position.

Due to the cyclical nature of the hospitality industry, employees may be required to work varying schedules to reflect the business needs of the hotel.

Job Type: Full-time

Pay: From $45,000.00 per year

Schedule:

* 10 hour shift
* Day shift
* Evenings as needed
* Evening shift
* Holidays
* Monday to Friday
* Morning shift
* Nights as needed
* Overnight shift
* Weekends as needed

Experience:

* Hotel experience: 3 years (Required)

Ability to Commute:

* Houston, TX 77041 (Required)

Work Location: In person","https://www.indeed.com/cmp/Holiday-Inn-Westway-Park-Houston","","","","","","","","",""
"e72cb3c1d93e03c7","indeed","https://www.indeed.com/viewjob?jk=e72cb3c1d93e03c7","http://www.indeed.com/job/caregiver-3rd-shift-10p-6a-prn-e72cb3c1d93e03c7","Caregiver 3rd Shift 10p-6a (PRN)","The Heritage of The Woodlands Memory Care","Spring, TX, US","","2024-09-11","direct_data","hourly",13.0,16.0,"USD",False,"","","","","","**POSITION DESCRIPTION**   
**Position Title:** Caregiver  
**Department:** Operations **Location:**  Community  
**FLSA Status:**  Non-Exempt **Reports To:**  Director of Healthcare

**Caregiver** 

**SUMMARY:** The Caregiver is responsible for providing professional, compassionate, and quality care for all residents.

**ESSENTIAL DUTIES AND RESPONSIBILITIES:** 

* Implements and supports resident care plan. Assists residents with activities of daily living

(ADL’s). Promptly responds to all resident care needs.

* Provides for the residents’ physical care including transferring in and out of beds, baths, wheelchairs, and/or automobiles, bathing, performing hygiene tasks, toileting, assisting with meals, and other tasks.
* Changes bed linens, washes and irons resident’s laundry, and maintains tidiness of residents’ bedrooms, closets, and dresser drawers. Assists with resident room, bathroom, and common area cleanliness, overall facility, and other housekeeping duties as needed.
* Takes and records, at predetermined intervals, vital signs such as temperature, pulse, respiration, weight, and blood pressure and measures intake as needed. Collects sputum, urine, and stool, discharge drainage and other specimens as ordered. Monitors residents for changes in condition and reports changes to leadership, if delegated to do so by licensed nurse.
* Facilitates and/or participates in resident group activities and resident care conferences.

Supports new resident welcome and assimilation process.

* Engages residents in meaningful conversation and activities related to their individual interests.
* Completes incident reports for any incidents occurred on assigned shift.
* Responds to all emergency situations.
* Performs other duties as assigned.

**QUALIFICATIONS:**  *To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements below are representative of the knowledge, skill, and/or ability required.*

* High school diploma or equivalent.
* Experience in Memory Care preferred.
* Must complete 12 hours of continuing education – provided through community in-services.
* Must be fluent in English and have the ability to read and interpret documents such as resident care plan, safety rules, operating procedures, policies and employee manuals.
* Ability to complete incident reports and basic documentation as needed.
* Must work with other staff towards overall resident care.
* Ability to report to work at least 15 minutes early to conduct a “walk-through” with previous shift personnel.

**COMPETENCIES:**

* **Teamwork** – exhibits objectivity and openness to others’ views; gives and welcomes feedback; contributes to building a positive team spirit and maintaining a harmonious work environment.
* **Interpersonal Skills** – focuses on solving conflict, not blaming; maintains confidentiality; develops and maintains positive relationships with residents, co-workers, families, and other agencies; interacts with residents with dignity and respect; maintains confidentiality.
* **Dependability** – follows instructions, responds to management direction; results-oriented and committed to achieving objectives and tasks as required.
* **Professionalism** – maintains a professional approach to responsibilities (arrive to work prepared in uniform, on time, availability, etc.); approaches others in a tactful manner; communicates professionally with staff members, residents, resident families, and vendors; reacts well under pressure; treats others with respect and consideration regardless of their status or position; accepts responsibility for own actions.
* **Ethics** – follows through on commitments; inspires the trust of others; works with integrity and ethically; upholds organizational values.
* **Problem Solving** – identifies and resolves problems in a timely manner; works well in group problem solving situations.

**PHYSICAL DEMANDS:** *The physical demands are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.*

* Required to stand, stoop, bend, lift, and walk regularly, occasionally sit, lift and/or move up to

100 pounds.

* The noise level in the work environment is usually moderate.

Pay: $13.00 - $16.00 per hour

Schedule:

* 8 hour shift
* Monday to Friday
* Weekends as needed

Education:

* High school or equivalent (Preferred)

Experience:

* Caregiving: 1 year (Preferred)

License/Certification:

* CPR Certification (Preferred)

Shift availability:

* Day Shift (Preferred)

Work Location: In person","https://www.indeed.com/cmp/The-Heritage-of-the-Woodlands-Memory-Care","","","","","","","","",""
"0d64e63d3f170881","indeed","https://www.indeed.com/viewjob?jk=0d64e63d3f170881","http://www.indeed.com/job/lvn-home-health-nurse-0d64e63d3f170881","LVN Home Health Nurse","GC HEALTH SERVICES, INC.","New Caney, TX, US","parttime","2024-09-11","","hourly","","","USD",False,"","","","","","\\*\\*Job Overview:\\*\\*

We are seeking a highly skilled and compassionate Licensed Vocational Nurse (LVN) to join our team. The LVN will play a critical role in providing exceptional patient care in our patients home setting. The ideal candidate will possess a strong foundation in nursing practices. The successful candidate will be committed to delivering high-quality care to patients with diverse needs, including those with working people developmental disabilities.

\\*\\*Responsibilities:\\*\\*

- Administer medications and treatments as prescribed by physicians and registered nurses.

- Perform diagnostic evaluations and procedures

- Utilize KANTIME to manage patient records and electronic medical records.

- Provide home care services to patients in their own homes.

- Demonstrate a commitment to working people developmental disabilities, providing individualized care and support.

- ensure a clean and safe environment for patients.

- Participate in the development of individualized care plans and contribute to the overall care team.

\\*\\*Experience:\\*\\*

- Current licensure as a Licensed Vocational Nurse (LVN) in the state where the job is located.

- Prior experience in a hospital setting or similar healthcare environment.

- Familiarity with electronic medical records systems

- Strong knowledge of nursing practices and procedures, including diagnostic evaluation and aseptic technique.

- Experience working with patients with diverse needs, including those with working people developmental disabilities.

- Ability to work effectively in a fast-paced environment and adapt to changing priorities and situations.

- Excellent communication and interpersonal skills, with the ability to work collaboratively with patients, families, and healthcare teams.

Job Types: Part-time, PRN

Pay: $25.00 per hour

Expected hours: 27 per week

Benefits:

* 401(k)
* Dental insurance
* Flexible schedule
* Health insurance
* Paid training
* Vision insurance

Medical Specialty:

* Home Health

License/Certification:

* LVN license (Required)
* BLS Certification (Required)

Ability to Commute:

* New Caney, TX (Required)

Ability to Relocate:

* New Caney, TX: Relocate before starting work (Required)

Work Location: In person","https://www.indeed.com/cmp/Gc-Health-Services,-Inc.","http://gchealthservices.com/","","","","","","","",""
"40b5c33e731d69bf","indeed","https://www.indeed.com/viewjob?jk=40b5c33e731d69bf","https://careers.hireology.com/griswoldhomecare-westmontgomerycounty/2003200/description?ref=indeed.com&source=indeed","Overnights Weekend Caregiver","Griswold","Spring, TX, US","fulltime","2024-09-10","direct_data","hourly",11.0,13.0,"USD",False,"","","Health Care","","","**Weekend shifts 9pm-7am**


**Apply with a current resume for immediate consideration**



Griswold Home Care of North Houston is seeking highly qualified CNA’s, HHA’s, and Caregivers to provide personalized care to our clients in their homes, where you will be hands on with the client and making an impact on their lives!


**What you need:**



This is an autonomous position, so we are looking for individuals who are self-motivated, service-minded, willing to learn through experience, and truly have a big heart and a passion for caring for our clients!


* Minimum 1 year of professional caregiving experience.


* Supervisory references and a proven track record of dependability.


* Reliable transportation with valid driver’s license and auto insurance


**What we offer:**



We do our best to match you with client cases that best fit your skill level and provide flexible options that work with your schedule. We also provide our caregivers with ongoing education courses to help them grow as professionals! More benefits include:


* PTO: Paid time off


* Minimal Essential Health Care Program


* Employee Recognition Program


* Employee Referral Program","https://www.indeed.com/cmp/Griswold-1","https://www.griswoldcare.com/","510 E. Township Line Rd, Ste 210, Blue Bell, PA","1,001 to 5,000","$5M to $25M (USD)","At Griswold Home Care, we give people the help they need to live in the place they love.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/32675959ab3e48f6e7a64a7565db69a5","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/e43b293a0ed5d4bc493a8c946cb4c7c4","Michael Slupecki","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/6baa2aa67d8cf53bd2bdc71079eeb38f"
"d91261c958d01e8f","indeed","https://www.indeed.com/viewjob?jk=d91261c958d01e8f","https://careers.hireology.com/amadaseniorcare-pearlandtx/2002816/description?ref=indeed.com&source=indeed","Personal Home Health Provider *Must be able to drive* (Houston 77045)","Amada Senior Care","Houston, TX, US","parttime","2024-09-10","direct_data","hourly",12.0,14.0,"USD",False,"","","","","","Amada Senior Care provides non-medical, in-home care to seniors - many of whom are veterans!



Caregivers on our team can expect to earn between $12 - $14/hr.


**At Amada, you can expect to enjoy:**


* INSURANCE: Health, Vision, Dental
* Earned PTO (paid time off)
* Referral Bonuses
* Caregiver Recognition
* Flexible Schedules: full time/part-time/weekends/overnight
* Next Day Pay
* Training: We provide a combination of online and hands-on training to help our caregivers advance

**Responsibilities**


* Provide in-home companionship to elderly clients
* Provide personal hygiene assistance for elderly patients by attending to their basic needs, such as showering, bathing, toileting, and dressing
* Remind clients to take prescribed medication
* Help with mobility around the house or outside (doctor’s appointments, walks etc.)
* Plan and prepare meals
* Complete client’s shopping or accompany them too successfully do so
* Perform basic housekeeping duties
* Report any unusual incidents and act quickly and responsibly in cases of emergency
* Offer activities that are essential for daily living


**Qualifications**


* Valid driver’s license, valid auto insurance, and reliable transportation
* Ability to pass a background check and drug screening
* Prior experience in a healthcare or in-home care environment (*2 years*)
* Able and willing to drive within a 25 mile radius of home address
* Able and willing to work with both male and female patients
* Ability to perform all essential job functions with or without accommodations
* Supportive and compassionate","https://www.indeed.com/cmp/Amada-Senior-Care-a64a5168","","","","","","","","",""
"bdc154427b814b84","indeed","https://www.indeed.com/viewjob?jk=bdc154427b814b84","https://careers.hireology.com/amadaseniorcare-pearlandtx/2002814/description?ref=indeed.com&source=indeed","In Home Provider *Must be able to drive* (Pasadena 77506)","Amada Senior Care","Pasadena, TX, US","parttime","2024-09-10","direct_data","hourly",12.0,14.0,"USD",False,"","","","","","Amada Senior Care provides non-medical, in-home care to seniors - many of whom are veterans!



Caregivers on our team can expect to earn between $12 - $14/hr.


**At Amada, you can expect to enjoy:**


* INSURANCE: Health, Vision, Dental
* Earned PTO (paid time off)
* Referral Bonuses
* Caregiver Recognition
* Flexible Schedules: full time/part-time/weekends/overnight
* Next Day Pay
* Training: We provide a combination of online and hands-on training to help our caregivers advance

**Responsibilities**


* Provide in-home companionship to elderly clients
* Provide personal hygiene assistance for elderly patients by attending to their basic needs, such as showering, bathing, toileting, and dressing
* Remind clients to take prescribed medication
* Help with mobility around the house or outside (doctor’s appointments, walks etc.)
* Plan and prepare meals
* Complete client’s shopping or accompany them too successfully do so
* Perform basic housekeeping duties
* Report any unusual incidents and act quickly and responsibly in cases of emergency
* Offer activities that are essential for daily living


**Qualifications**


* Valid driver’s license, valid auto insurance, and reliable transportation
* Ability to pass a background check and drug screening
* Prior experience in a healthcare or in-home care environment (*2 years*)
* Able and willing to drive within a 25 mile radius of home address
* Able and willing to work with both male and female patients
* Ability to perform all essential job functions with or without accommodations
* Supportive and compassionate","https://www.indeed.com/cmp/Amada-Senior-Care-a64a5168","","","","","","","","",""
"a96cc5afbed60450","indeed","https://www.indeed.com/viewjob?jk=a96cc5afbed60450","https://careers-aimbridge.icims.com/jobs/350334/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Night Auditor","Aimbridge Hospitality","Houston, TX, US","fulltime","2024-09-10","direct_data","yearly",26829.0,33971.0,"USD",False,"","","Restaurants Travel And Leisure","","","Job Summary:

The Night Auditor is responsible for the preparation and disposition of all Night Audit work. Responsible for the front desk operation during the overnight shift (Typically 11pm-7am). Primary responsibilities include: registering guests making reservations preparing daily reports balancing transactions and conducting security walks.
Responsibilities:
**QUALIFICATIONS:**  

* At least 1 year of progressive experience in a hotel or a related field required.
* High School diploma or equivalent required.
* College course work in related field helpful.
* Previous supervisory responsibility preferred.
* Must be able to work independently and with minimal supervision.
* Knowledge of Accounting Principles.
* Must be able to problem solve and troubleshoot in order to resolve guest issues that may arise and respond to emergency situations.
* Must be proficient in Windows operating systems company approved spreadsheets and word processing.
* Must be able to convey information and ideas clearly.
* Must be able to evaluate and select among alternative courses of action quickly and accurately.
* Must work well in stressful high pressure situations.
* Must be effective in handling problems in the workplace including anticipating preventing identifying and solving problems as necessary.
* Must have the ability to assimilate complex information data etc. from disparate sources and consider adjust or modify to meet the constraints of the particular need.
* Must be able to work with and understand financial information and data and basic arithmetic functions.
* Must be able to work in a self-managed environment.
* Must be effective at listening to understanding and clarifying the concerns and issues raised by co-workers and guests.
* Must maintain composure and objectivity under pressure.

 **RESPONSIBILITIES:**  

* Approach all encounters with guests and associates in a friendly service-oriented manner.
* Maintain regular attendance in compliance with Aimbridge Hospitality standards as required by scheduling which will vary according to the needs of the hotel.
* Maintain high standards of personal appearance and grooming which include wearing the proper uniform and name tag when working (per brand standards).
* Comply at all times with Aimbridge Hospitality standards and regulations to encourage safe and efficient hotel operations.
* Maintain a friendly and warm demeanor at all times.
* Initiate and complete the End of Day process.
* Run all reports as required for Food and Beverage audit.
* Complete the Night Audit checklist for computer procedures daily.
* Balance the day's work (i.e. movie revenue telephone postings valet laundry server's and desk agent's paperwork etc.).
* Maintain cashiering responsibilities as per Front Office procedures according to Aimbridge Hospitality standards.
* Maintain Front Office computer system operation according to Aimbridge Hospitality standards.
* Fulfill all Front Office functions between the hours of 11:00 p.m. and 7:00 a.m.
* Follow up to ensure periodic checks by the Midnight House Attendant are made of building and guest corridors to ensure all areas are locked and secured (property specific)
* Handle and follow through on all guest requests daily from 11:00 p.m. until 7:00 a.m.
* Follow safety and emergency procedures according to Aimbridge Hospitality standards.
* Maintain proper record keeping (i.e. log books etc.) according to Aimbridge Hospitality standards.
* Be familiar with all Aimbridge Hospitality's policies and house rules.
* Complete the initial direct bills daily and place on the Property Accountant's desk; Attach all folio/banquet check back-up to the bills.
* Maintain radio contact with other associates during entire shift.
* Have a working knowledge of security procedures.
* Ensure associates are at all times attentive friendly helpful and courteous to all guests managers and fellow associates.
* Prepare and distribute the Daily Flash Report as needed.
* Transfer the master or house accounts as necessary.
* Distribute work (i.e. revenue printouts charge and paid folios vouchers and checks etc.) as directed by S.O.P.'s.
* Train any new Night Auditors as requested by management.
* Run morning reports according to Aimbridge Hospitality procedures.
* Assign delivery of newspapers daily. Deliver or assign delivery of Express Check-Out's.
* Follow up to ensure that nightly walk-through includes removal of all room service trays and straightening of pool and Jacuzzi area (property specific)
* Handle items for â€œLost and Foundâ€\\_ according to the standard.
* Complete any reports as requested by management in a timely manner.
* Complete any miscellaneous duties as required (i.e. resetting Food and Beverage P.O.S. where necessary distribution of credit 'Watch List' and preparation of daily revenue summary).
* As applicable to the hotel may assist guests with food orders and serve food and beverage items to guests in a friendly professional and timely manner; demonstrates suggestive selling techniques and maintains a clean organized environment for guests.
* Attend meetings as required by management.
* Perform any other duties as requested by the Guest Services Manager or any other member of management.


Property Details:

Located in the Houston city center, this pet-friendly hotel offers free Wi-Fi.
A fully-equipped kitchen with a full-sized refrigerator, microwave, stove top and dishwasher is included in every room at the Residence Inn Houston Downtown/Convention Center. A cable TV, a sofa bed, ironing facilities and a work desk are also provided.  

Guests at the Residence Inn Houston can access a fitness center with a variety of exercise equipment. Laundry facilities and a business center are also available for guests’ convenience.  

A complimentary breakfast buffet is offered each morning. Free beverages and appetizers are served during the evening on select days. A complimentary grocery shopping service is also available.  

Residence Inn offers a free breakfast and a nightly reception on Monday, Tuesday and Wednesday evenings.  

The George R. Brown Convention Center and Discovery Green park are both just half a mile from this hotel. Hobby Airport is 10 miles away.  


Company Overview:

As the global leader in third-party hotel management, our growing portfolio represents over 1,550 hotels in all 50 states and 22 countries, from top international lodging brands to luxury hotels, destination resorts and lifestyle hotels. Our associates around the globe are passionate about serving our guests and driving exceptional results, and thrive in a culture where everyone is inspired to be the best. Join a world of possibility with Aimbridge Hospitality.
Benefits:

After an initial waiting period, those hired into full time positions are eligible for a competitive benefits package that includes the following:* Now offering **Daily Pay**! Ask your Recruiter for more details
* Medical, Dental, and Vision Coverage
* Short-Term and Long-Term Disability Income
* Term Life and AD&D Insurance
* Paid Time Off
* Employee Assistance Program
* 401k Retirement Plan","https://www.indeed.com/cmp/Aimbridge-Hospitality","http://www.aimbridgehospitality.com/","5301 Headquarters Drive
Plano, TX 75024","10,000+","$1B to $5B (USD)","Join a place to grow, succeed, and belong with a global leader in hospitality management. #theAimbridgeWAY","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f25b0c630ac07e93ec72fb5f617cc4f6","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/ab4455049c3966d95a1892fa2450536e","Michael J. Deitemeyer","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/848d865fe082d9bdfd4bbf8cc9e15999"
