"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"349608546241f876","indeed","https://www.indeed.com/viewjob?jk=349608546241f876","https://www.uline.jobs/JobDetails?source=1-INDEED&jobid=R246774","Warehouse Management Trainee - Overnights","Uline","Fontana, CA, US","fulltime","2024-09-11","direct_data","hourly",29.0,34.0,"USD",False,"","","","","","**Warehouse Management Trainee - Overnights**


**Pay from $29 to $34 per hour**


**(This includes a $2 per hour shift differential while on 2nd Shift)**


**California Distribution Center**


**8400 Milliken Avenue, Rancho Cucamonga, CA 91730**


Are you an emerging warehousing leader and champion for collaboration, training and teamwork? Then you belong at Uline! As an Overnight Warehouse Management Trainee, you’ll learn the ins and outs of warehouse operations and leadership through hands-on experience. It’s an exciting time to join our growing company - with new opportunities and job stability you can count on!


**Relocation assistance is available for qualified candidates.**


**Hours:** Sunday to Thursday, 9 PM to 5:30 AM


**Position Responsibilities**


* Master all aspects of warehouse operations management through an 18-month rotational program providing on-the-job learning.
* Participate in hands-on training across all warehouse teams including inbound, outbound and supporting departments.
* Develop Warehouse Management skills to uphold exceptional levels of accuracy, safety and performance in a high-performing warehouse environment.
* Complete forklift and warehouse equipment certifications throughout warehouse job rotations.

**Minimum Requirements**


* Bachelor’s degree.
* Ability to learn quickly in a fast-paced warehouse management environment.
* Enthusiastic, self-motivated team player with the ability to multitask.
* Excellent problem-solving and critical-thinking skills with strong attention to detail.

**Benefits**


* Complete medical, dental, vision and life insurance coverage, Flexible Spending Accounts and wellness programs.
* 401(k) with 6% employer match.
* Paid holidays and generous paid time off.
* Tuition Assistance Program that covers professional continuing education.
* Bonus programs that include annual performance, sales goals and profit-sharing.

**Employee Perks**


* Best-in-class, clean, modern facilities.
* Company-provided uniforms.

**About Uline**


Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, quality products and same-day shipping of our huge in-stock inventory. With over 9,000 employees across 13 locations, it's time you joined Uline.


Uline is proud to operate as a drug-free workplace.


EEO/AA Employer/Vet/Disabled


#LI-JJ1


#LI-CA001


(#IN-WCDCWHMT)


Our employees make the difference and we are committed to offering exceptional benefits and perks! Explore https://www.uline.jobs/#working-here\\_blankUline.jobs to learn more!","https://www.indeed.com/cmp/Uline","http://www.uline.com","Pleasant Prairie, WI","5,001 to 10,000","Decline to state","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/ad0304f74c5a523a393a3e033c2b623a","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/79947913f155a81cae24aa70a9935e79","Richard Uihlein","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/078edd778c5dda985705e48686b38270"
"cacbc191e13b8c1b","indeed","https://www.indeed.com/viewjob?jk=cacbc191e13b8c1b","http://www.indeed.com/job/kitchen-team-member-cacbc191e13b8c1b","Kitchen Team Member","Road Grill","Granada Hills, CA, US","parttime","2024-09-11","direct_data","hourly",18.0,20.0,"USD",False,"","","","","","\\*Job Overview\\*

We are seeking a dedicated Kitchen Team Member to join our dynamic team. The ideal candidate will have a passion for food preparation and a keen eye for detail.

\\*Responsibilities\\*

- Assist in meal preparation and food presentation

- Support the kitchen staff in various tasks

- Follow proper food handling procedures

- Maintain cleanliness and organization in the kitchen area

- Collaborate with team members to ensure efficient operations

\\*Experience\\*

- Previous experience in a dietary department, restaurant, or catering setting is advantageous

- Knowledge of basic cooking techniques and kitchen equipment operation

- Familiarity with menu planning and meal preparation

- Ability to work well under pressure and in a fast-paced environment

- Strong attention to detail and adherence to food safety guidelines

- Ability to take orders by phone and from walk in customers and use the POS system is a plus

Job Type: Part-time

Pay: $18.00 - $20.00 per hour

Expected hours: 15 – 25 per week

Benefits:

* Employee discount
* Flexible schedule

Physical Setting:

* Casual dining restaurant

Shift:

* Day shift
* Evening shift
* Morning shift
* Night shift

Application Question(s):

* Able to work either Friday or Saturday nights and rotating Sundays
* Ready to dedicate 4 to 6 hours of training (unpaid) prior to start of work to test and review expressed abilities

License/Certification:

* California Food Handlers Certification (Preferred)

Shift availability:

* Day Shift (Preferred)
* Night Shift (Preferred)
* Overnight Shift (Preferred)

Ability to Commute:

* Granada Hills, CA 91344 (Required)

Work Location: In person","https://www.indeed.com/cmp/Road-Grill-1","","","","","","","","",""
"db7860921ee15602","indeed","https://www.indeed.com/viewjob?jk=db7860921ee15602","http://www.indeed.com/job/maintenance-mechanic-3rd-shift-db7860921ee15602","Maintenance Mechanic - 3rd shift","Uptime Source","Fullerton, CA, US","fulltime","2024-09-11","direct_data","hourly",28.0,30.0,"USD",False,"","","","","","* Troubleshoot equipment problems and perform immediate repairs and preventative maintenance on equipment.
* Overhaul and install new equipment.
* Complete work orders as assigned.
* Perform equipment changeovers and production line set-ups.
* Responsible for troubleshooting and providing immediate preventative and corrective maintenance support to production lines and facilitating changeover.
* Responsible for basic fabrication and design special projects.
* Maintain and ensure a clean and safe work environment for all employees.
* Responsible for repair, maintenance of all plant machinery including, but not limited to fillers, cappers, labelers, sleevers, conveyors, seamers, heat tunnels, boilers, compressors, and descramblers.
* Comply with Personal Protective Equipment (PPE).
* Comply with Lock-out/Tag-out (LOTO) when working on equipment.

SKILLS:

* Must be able to read electrical, hydraulic, and pneumatic drawings
* Must be able to troubleshoot electrical, 24 volt, 120 volt, and 480 volt.
* Ability to read, write and speak English.
* Ability to stand for long periods of time, to work in confined areas, to lift 50 lbs.
* Team player, willing to assist other mechanics in their areas to accomplish the task.
* Must be able to work overtime and weekends as necessary.
* Basic computer knowledge (Excel, Outlook, and Word

Job Type: Full-time

Pay: $28.00 - $30.00 per hour

Benefits:

* Dental insurance
* Health insurance
* Paid time off

Schedule:

* 10 hour shift
* 8 hour shift
* Monday to Friday
* Overnight shift
* Overtime
* Weekends as needed

Experience:

* 480V/3 Phase Motors: 3 years (Preferred)
* Preventative maintenance: 3 years (Preferred)
* Hydraulics/Pneumatics: 3 years (Preferred)

Shift availability:

* Day Shift (Preferred)
* Night Shift (Preferred)

Work Location: In person","https://www.indeed.com/cmp/Uptime-Source","","","","","","","","",""
"5291a4f5384460a5","indeed","https://www.indeed.com/viewjob?jk=5291a4f5384460a5","https://recruiting2.ultipro.com/TEL1006/JobBoard/2fcbb6f4-e717-17cb-9327-3dd87a55b08d/OpportunityDetail?opportunityId=b5407067-02ca-4eea-88f8-05a9d9f34606&postingId=b88cdb94-956a-4e9f-bf5e-4f52819c0e8d","Case Manager - Substance Use Counselor - Mental Health 346","Telecare Corporation","Fontana, CA, US","fulltime","2024-09-11","direct_data","hourly",25.0,31.0,"USD",False,"","","","","","“They made it easier for me to live, breathe, eat, and stay clean. Without them, I’d be waiting somewhere, waiting for someone to give me a chance to live...” - Client from Telecare

**What You Will Do to Change Lives**

The Case Manager Substance Use Counselor Certified serves as the primary support and case manager for individuals with mental illness by assisting them to live as independently as possible in their chosen community, focusing on substance abuse and addictions

**Shifts Available:**

**Full Time; AM 7:00 am - 3:30 pm; Monday - Friday**

Expected starting wage range is $25.35 - $31.32. Telecare applies geographic differentials to its pay ranges. The pay range assigned to this role will be based on the geographic location from which the role is performed. Starting pay is commensurate with relevant experience above the minimum requirements.

**What You Bring to the Table (Must Have)**  


* High School Diploma or G.E.D and Certified Advanced Alcohol and Drug Counselor (CADC), or Certified Addiction Treatment Counselor (CATC), Substance Use Disorder Certified Counselor (SUDCC, SUDCC II, III, IV)


* Six (6) months’ experience in addictions setting
* All certifications must be maintained for duration of employment


* Within two (2) months of employment, ability to apply financial requirements for billing and learn billing codes


* Sensitivity to multi-cultural populations and issues


* Must be credentialed as a qualified mental health professional, where applicable


* Must be at least 18 years of age


* Must be CPR, First Aid, and CPI certified (hands-on course) on date of employment or prior to providing direct client care and maintain current certification throughout employment


* Valid and current driver’s license, and personal vehicle insurance with your name listed as a driver.


* Willingness to use the company vehicle to drive clients to appointments and groups, etc.


**What’s In It for You\\***

* Paid Time Off: For Full Time Employee it is 16.7 days in your first year
* Nine Paid Holidays & Shift differentials for hourly staff (6% for PM Shift, 10% for Overnight Shift). Weekend Shift differentials for hourly staff (5% for Weekend AM Shift, 11% for Weekend PM Shift, 15% for Weekend Overnight Shift)
* Free CEUs, free Supervision for BBS Associate License, coaching, and mentorship
* Online University Tuition Discount and Company Scholarships
* Medical, Vision, Dental Insurance, 401K, Employee Stock Ownership Plan
* For more information visit : **https://www.telecarecorp.com/benefits**


**Join Our Compassionate Team**

Telecare's mission is to deliver excellent and effective behavioral health services that engage individuals in recovering their health, hopes, and dreams. Telecare continues to advance cultural diversity, humility, equity, and inclusion at all levels of our organization by hiring mental health peers, BIPOC, LGBTQIA+, veterans, and all belief systems.

As part of the Telecare family, the Merrill Center Crisis Stabilization Unit (CSU) offers 24/7 voluntary treatment to individuals who are suffering a mental health crisis but wish to avoid a locked setting. This program is located in Fontana, CA. It uses a welcoming, home-like environment to help assess the nature of the crisis, soothe and comfort the individual, and connect them with resources to avoid future crisis. Services are recovery-oriented, and utilize a multi-disciplinary team approach.

**EOE AA M/F/V/Disability**
* May vary by location and position type



Full Job Description will be provided if selected for an interview.

Case Manager, Case Management, Alcohol and Drug Counselor, Substance Use Disorder Counselor, Mental Health Worker

If job posting references any sign-on bonus internal applicants and applicants employed with Telecare in the previous 12 months would not be eligible.

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities


The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)","https://www.indeed.com/cmp/Telecare-Corporation","http://www.telecarecorp.com","","1,001 to 5,000","Decline to state","While Telecare has evolved over the years to address the changing needs of the people we serve, our overarching goal remains the same.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f2fcb9a73ede4aa34442da6c64bda90b","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/6cc5005777d7e0785a6d1fee505b7fb4","Anne L. Bakar","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/29e81ddab925afc3d719845c74810c0c"
"a315aaa487877709","indeed","https://www.indeed.com/viewjob?jk=a315aaa487877709","https://recruiting2.ultipro.com/TEL1006/JobBoard/2fcbb6f4-e717-17cb-9327-3dd87a55b08d/OpportunityDetail?opportunityId=6b423400-db33-48cd-bfe6-2224d39d9a40&postingId=fde69085-8c60-4826-ab69-f643c88e5015","Social Worker Clinician II ASW AMFT APCC (TEMP POSITION ONLY) - Mental Health 346","Telecare Corporation","Fontana, CA, US","fulltime","2024-09-11","direct_data","hourly",31.0,38.0,"USD",False,"","","","","","“They made it easier for me to live, breathe, eat, and stay clean. Without them, I’d be waiting somewhere, waiting for someone to give me a chance to live...” - Client from Telecare


**What You Will Do to Change Lives**



Under supervision of a licensed clinician, the Social Work Clinician II provides clinical and casework services to members served and natural supports. This involves person centered recovery planning and collaborating with other services and agencies.


**Shifts Available:**


**Full Time; NOC 11:00 pm - 7:30 am; Sunday - Thursday (TEMP ONLY)**



Expected starting wage range is $31.33 - $38.70. Telecare applies geographic differentials to its pay ranges. The pay range assigned to this role will be based on the geographic location from which the role is performed. Starting pay is commensurate with relevant experience above the minimum requirements.


**What You Bring to the Table (Must Have)**


* A Master’s Degree in Social Work from an accredited graduate school and working towards licensure and registered with the Board of Behavioral Science
* One (1) year of direct service experience with individuals with severe mental illness in an inpatient or outpatient setting is required
* Valid and current driver’s license, and personal vehicle insurance with your name listed as a driver.
* Willingness to use your personal vehicle to drive clients to appointments and groups, etc.


**What’s In It For You\\***


* Paid Time Off: For Full Time Employee it is 16.7 days in your first year
* Nine Paid Holidays & Shift differentials for hourly staff (6% for PM Shift, 10% for Overnight Shift). Weekend Shift differentials for hourly staff (5% for Weekend AM Shift, 11% for Weekend PM Shift, 15% for Weekend Overnight Shift)
* Free CEUs, free Supervision for BBS Associate License, coaching and mentorship
* Online University Tuition Discount and Company Scholarships
* Medical, Vision, Dental Insurance, 401K, Employee Stock Ownership Plan
* For more information visit: **https://www.telecarecorp.com/benefits**


**Join Our Compassionate Team**



Telecare's mission is to deliver excellent and effective behavioral health services that engage individuals in recovering their health, hopes, and dreams. Telecare continues to advance cultural diversity, humility, equity, and inclusion at all levels of our organization by hiring mental health peers, BIPOC, LGBTQIA+, veterans, and all belief systems.



As part of the Telecare family, the Merrill Center Crisis Stabilization Unit (CSU) offers 24/7 voluntary treatment to individuals who are suffering a mental health crisis but wish to avoid a locked setting. This program is located in Fontana, CA. It uses a welcoming, home-like environment to help assess the nature of the crisis, soothe and comfort the individual, and connect them with resources to avoid future crisis. Services are recovery-oriented, and utilize a multi-disciplinary team approach.


**EOE AA M/F/V/Disability**


* May vary by location and position type



Full Job Description will be provided if selected for an interview.



MSW, BSW, Social Work, Clinical



If job posting references any sign-on bonus internal applicants and applicants employed with Telecare in the previous 12 months would not be eligible.


Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities


The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)","https://www.indeed.com/cmp/Telecare-Corporation","http://www.telecarecorp.com","","1,001 to 5,000","Decline to state","While Telecare has evolved over the years to address the changing needs of the people we serve, our overarching goal remains the same.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f2fcb9a73ede4aa34442da6c64bda90b","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/6cc5005777d7e0785a6d1fee505b7fb4","Anne L. Bakar","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/29e81ddab925afc3d719845c74810c0c"
"3339d1a499bb1be8","indeed","https://www.indeed.com/viewjob?jk=3339d1a499bb1be8","http://www.indeed.com/job/retail-merchandiserfixture-installer-3339d1a499bb1be8","Retail Merchandiser/Fixture Installer","Peak Peaps","Monterey Park, CA, US","temporary, contract","2024-09-11","direct_data","hourly",19.0,21.0,"USD",False,"","","","","","Peak is looking for **Retail Merchandisers/Fixture Installers.** 

**This is a Temporary Contract Position** which may extend with more opportunities if you show up to shifts! We have very high volume of contracts within the area on a weekly basis.

**Job Summary for Retail Merchandisers:**

We are growing our overnight reset and remodel merchandising team! This Reset Merchandiser job will be part of a team remodelling the insides of big box retailers. **He/she will be working overnights, Monday to Friday 9pm-6AM**, building, assembling and installing shelving and fixtures. Anyone with a background in merchandising resets or remodels, installer, construction, or general labor, this could be a perfect fit for you. The ideal merchandiser is; self-sufficient, highly motivated, knows their way around a tool bag, and have the drive to produce high quality results in a fast paced environment.

This position requires that you be able to lift 40 pounds, climb, push, pull, bend, stand, stoop, and kneel for extended periods of time with, or without, a reasonable accommodation. Our diverse team strives for perfection and you should feel comfortable operating under minimal supervision.

**Responsibilities for Merchandisers:**

* Driving to your assigned location in your personal vehicle (must have reliable transportation)
* Check-in and out with Site Lead when you arrive and before you leave the site each day
* Ability/Willingness to work Overnight shift
* Knowledge/ability to use basic tools necessary for the job
* Must be able to take direction regarding tagging, rotating and placing products on shelf

**Skills & Requirements for Merchandisers:**

* Be 18 years of age or older
* Have a valid driver’s license and reliable transportation
* Reading planograms properly in order to organize the merchandise correctly
* Ability to stand a minimum shift of 8 hours (9pm-6am)
* Strong Work Ethic: you are punctual and reliable in terms of attendance; you accurately report your time, and you are comfortable working without a manager monitoring your day-to-day activities
* Flexibility: you can adapt to changing situations, new tasks and priorities as changes occur; you will encounter challenges and resolve them
* Attention to Detail: our Merchandisers are meticulous when it comes to checking the plans and ensuring each task is completed correctly before moving on to the next
* Communication: you will be working closely with the Site Lead; it is extremely important to communicate regularly; good communication is essential for this position
* Positive Attitude: We take pride in how our employees treat others, a positive attitude is essential

Job Types: Temporary, Contract

Salary: $19.00-21.00 per hour based upon experience.

Schedule:

* 8 hour shift
* Monday to Friday
* Night shift

Job Types: Temporary, Contract

Pay: $19.00 - $21.00 per hour

Expected hours: 40 per week

Schedule:

* 8 hour shift
* Night shift

People with a criminal record are encouraged to apply

License/Certification:

* Driver's License (Required)

Shift availability:

* Night Shift (Required)

Ability to Commute:

* Monterey Park, CA (Required)

Work Location: In person","https://www.indeed.com/cmp/Peak-Peaps","http://www.peakpeaps.com","","","","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0b07790794c1ec0f33b160eb8a84493c","","",""
"a255865a51e1bdc2","indeed","https://www.indeed.com/viewjob?jk=a255865a51e1bdc2","http://www.indeed.com/job/acting-position-horror-escape-room-a255865a51e1bdc2","ACTING POSITION FOR HORROR ESCAPE ROOM","Escapade Games","Fullerton, CA, US","parttime","2024-09-11","","hourly","","","USD",False,"","","","","","Looking for physically able actors who are able to work in a very fast paced environment

Must be comfortable working in the dark, and using props such as tazers in the room and physically touch people as well. (training included)

Willing to work with schedules but must have at minimum 15 hours available per week, and fully open on weekends (Friday, Saturday, Sunday)

Must not be working another haunt

Acting experience is preferred.

please look us up on tik tok to see what we do.

@zoereborn

Job Type: Part-time

Pay: $16.00 per hour

Schedule:

* 4 hour shift
* 8 hour shift

Shift availability:

* Day Shift (Required)
* Night Shift (Required)
* Overnight Shift (Preferred)

Work Location: In person","https://www.indeed.com/cmp/Escapade-Games","http://escapadegames.us/","","","","","","","",""
"7f16ff80e959ce48","indeed","https://www.indeed.com/viewjob?jk=7f16ff80e959ce48","http://www.indeed.com/job/head-chef-7f16ff80e959ce48","Head Chef","7 kingdoms","Los Angeles, CA, US","parttime, fulltime","2024-09-11","direct_data","hourly",18.0,23.0,"USD",False,"","","","","","7 kingdoms bar is looking for Head Chef, cooks, prep cooks, line cooks, and dishwashers

please send your resume or stop by any day from 3 to 6 pm

Job Types: Full-time, Part-time

Pay: $18.00 - $23.00 per hour

Expected hours: 40 – 60 per week

Benefits:

* Flexible schedule
* Retirement plan

Shift:

* 8 hour shift

Shift availability:

* Day Shift (Required)
* Night Shift (Required)
* Overnight Shift (Required)

Work Location: Multiple locations","https://www.indeed.com/cmp/7-Kingdoms","","","","","","","","",""
"3fd35dc0efffd110","indeed","https://www.indeed.com/viewjob?jk=3fd35dc0efffd110","http://www.indeed.com/job/ihss-care-provider-3fd35dc0efffd110","IHSS Care Provider","IHSS Recipient Chatsworth","Chatsworth, CA, US","parttime, fulltime, contract","2024-09-11","direct_data","hourly",17.0,19.0,"USD",False,"","","","","","Job Summary:

We are seeking a compassionate and skilled IHSS Provider to provide in-home support to our clients. The ideal candidate will be responsible for providing a range of personal care and household services to individuals who require assistance with daily living activities. This is a rewarding opportunity to make a positive impact in the lives of others and work in a supportive and dynamic environment.

Duties:

- Provide personal care and assistance with daily living activities, including bathing, dressing, grooming, and toileting.  
- Assist with meal preparation and household chores, such as laundry and cleaning.  
- Perform patient monitoring and administer first aid as needed.  
- Support clients with ADLs (Activities of Daily Living), including medication management and mobility assistance.  
- Safely lift and transfer clients as necessary.  
- Provide hospice care and support to clients with end-of-life needs.  
- Work effectively in a group home or senior care setting, adhering to the home's policies and procedures.  
- Maintain a clean and safe environment for clients, including cleaning and disinfecting living areas and bathrooms.  
- Perform other related duties as assigned.

Qualifications:

- High school diploma or equivalent required.  
- Previous experience working in a healthcare or home care setting is preferred.  
- Ability to perform tasks that require bending, lifting, and standing for extended periods.  
- Familiarity with ADLs and the ability to assist with personal care and mobility.  
- Knowledge of hospice care and the ability to provide end-of-life support.  
- First aid certification is a plus.  
- Ability to work independently and as part of a team.  
- Strong communication and interpersonal skills.  
- Compassionate and patient-oriented approach to working with clients.

Skills:

- Clean and maintain living areas and bathrooms.  
- Monitor patient health and administer first aid as needed.  
- Provide hospice care and support.  
- Prepare meals and perform household chores.  
- Lift and transfer clients safely.  
- Assist with senior care and group home settings.  
- Support clients with ADLs and mobility assistance.  
- Provide personal care and grooming services.

Job Types: Full-time, Part-time, Contract

Pay: $17.63 - $19.57 per hour

Expected hours: 8 – 40 per week

Benefits:

* Flexible schedule

Schedule:

* 10 hour shift
* 12 hour shift
* 4 hour shift
* 8 hour shift
* Day shift
* Evening shift
* Every weekend
* Holidays
* Monday to Friday
* Morning shift
* Night shift
* On call
* Overnight shift
* Overtime
* Rotating weekends
* Weekends as needed
* Weekends only

Shift availability:

* Day Shift (Preferred)
* Night Shift (Preferred)
* Overnight Shift (Preferred)

Ability to Commute:

* Chatsworth, CA 91311 (Required)

Ability to Relocate:

* Chatsworth, CA 91311: Relocate before starting work (Required)

Work Location: In person","https://www.indeed.com/cmp/Ihss-Recipient-Chatsworth","","","","","","","","",""
"d6c95a66c7b777c0","indeed","https://www.indeed.com/viewjob?jk=d6c95a66c7b777c0","https://jobs.augusta.care/apply/happier-home-care-burbank?channel_source=Indeed","Happy Reliable Caregivers Needed -Join our team!","Happier Home Care","Burbank, CA, US","parttime, fulltime","2024-09-11","direct_data","hourly",18.0,21.0,"USD",False,"","","","","","**Join Us As a Caregiver in Our Mission to Elevate Senior Care!**

Be an important part of a mission driven team. Our mission is to help seniors live their happiest lives; aging safely in place in their own home. From Pasadena to Woodland Hills; from Santa Clarita to Beverly Hills - We are looking to add team members that share our vision and compassion for elevating senior care.

What does your dream client look like? What is the next step in your career? We want to learn more about you and what you can bring to a dynamic and growing company and how we can support you.

**""Happiness is when what you think, what you say and what you do are in harmony."" ~** ***Mahatma Ghandi***

**What Makes a Happier Home Care Team Member?**

* *Empathetic to the challenges of aging with dignity.*
* *Able to reassure clients of their importance in this world.*
* *Able to initiate and hold a conversation with someone.*
* *Reliable transportation to and from work.*
* *Comfortable providing personal care.*
* *Cool Under Pressure.*
* *Eager to Learn.*

**You will be working with the most supportive Home Care company in The Valley offering the following:**

* *Client Care Coordinators, Care Mangers or Brand Ambassadors accompany you on initial visits with new clients.*
* *Management Team that answers your phone calls and texts.*
* *Weekly Pay.*
* *Telehealth benefits after 40 hours of service.*
* *Ongoing Training and Education.*
* *Opportunities for advancement. Path to Lead Caregiver, Brand Ambassador, etc...*
* *Rewards and recognition program.*
* *Assistance with goal setting and building a roadmap for your career!*

**You deliver on the following duties and responsibilities:**

* *Assists clients with activities of daily living: meal preparation, personal care, light housekeeping, errands, companionship, transportation, etc.*
* *Engages with clients through excellent listening skills and conversational skills.*
* *Meets safety standards, using equipment safely and accurately*
* *Confident in transferring and safe ambulation techniques.*
* *Familiar with client's care plan prior to scheduled visit.*
* *Completing progress notes.*
* *Provide feedback to management regarding changes in condition.*

Qualifications  
- Caregiving experience is required, with a strong emphasis on providing compassionate and attentive care to individuals in need.  
- Experience in assisted living facilities, nursing homes, or similar settings is highly preferred.  
- Proficiency in assisting with activities of daily living (ADLs) and patient care is essential.  
- Previous experience working with individuals with developmental disabilities, Alzheimer's disease, or in hospice care is a plus.  
- Familiarity with direct support services for seniors and knowledge of vital signs monitoring are beneficial.  
- Experience with electronic medical record (EMR) systems is preferred.  
- A valid driver's license and a clean driving record are necessary for transportation purposes.  
- Knowledge of HIPAA regulations and respect for residents' rights are important aspects of this role.

Job Types: Full-time, Part-time

Pay: $18.00 - $21.00 per hour

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Flexible schedule
* Paid time off
* Professional development assistance
* Referral program
* Vision insurance

Schedule:

* 10 hour shift
* 12 hour shift
* 4 hour shift
* 8 hour shift
* Day shift
* Evening shift
* Holidays
* Monday to Friday
* Morning shift
* Night shift
* Overnight shift
* Overtime
* Weekends as needed
* Weekends only

Experience:

* Caregiving: 2 years (Required)

License/Certification:

* Home Care Aide Registration Number (Preferred)

Shift availability:

* Day Shift (Preferred)
* Night Shift (Preferred)
* Overnight Shift (Preferred)

Work Location: In person","https://www.indeed.com/cmp/Happier-Home-Care-2","http://www.happierhomecare.com","2310-B W. Magnolia Blvd
Burbank, CA 91506","","","At Happier Home Care, we take the time to discover what makes each of our clients happy; then we incorporate those special activities in the care we provide.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/42104b5e06a9f5050c2d598bf5821524","","",""
