"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"5131b3bec06f3875","indeed","https://in.indeed.com/viewjob?jk=5131b3bec06f3875","http://in.indeed.com/job/hiring-uk-customer-service-tech-mahindra-5131b3bec06f3875","Hiring for UK Customer Service - Tech Mahindra","Tech Mahindra","MH, IN","fulltime","2024-09-11","","","","","",False,"","","Consulting And Business Services","","pratikshadhannajay.jadhav@techMahindra.com","**Tech Mahindra Ltd**- Malad, Mumbai has an opportunity for UK, Ireland Customer Service FOR FRESHERS - Voice Process.

\\*Eligibility: - **HSC/Graduate**

Ex- Employees are welcomed, subject to eligibility.

- Candidates should be comfortable in working from Office.

- Transportation Boundary- (Churchgate to Virar, CST to Thane, CST to Vashi)

ONE WAY Transportation facility within boundaries. (Home Pickup OR Drop between 8PM to 7AM)

Location: Mumbai, Malad (W)

Process: UK Customer Service Process

Designation: Customer Relations Advisor

CANDIDATES WITH **GOOD COMMUNICATION SKILLS**, DO NOT MISS OUT THE OPPORTUNITY TO EARN GOOD INCENTIVES.

INTERESTED CANDIDATES CAN CALL/WHATSAPP CV TO **9136481200 or pratikshadhannajay.jadhav@techMahindra.com**

#Customer Service #Technical Support #Telecom #Flexible Shifts

#24\\*7 #Rotational #International Voice #BPO #Excellent Communication #Troubleshooting

#Customer Care #Customer Support

**Regards,**

**HR Team- Tech Mahindra Ltd.**

Job Types: Full-time, Permanent

Pay: ₹20,000.00 - ₹30,000.00 per month

Benefits:

* Health insurance
* Provident Fund

Schedule:

* Night shift
* Rotational shift
* UK shift

Supplemental Pay:

* Commission pay
* Overtime pay
* Performance bonus

Work Location: In person

**Speak with the employer**  
+91 9136481200","https://in.indeed.com/cmp/Tech-Mahindra","https://www.techmahindra.com/","Pune, India","10,000+","$1B to $5B (USD)","Tech Mahindra is a USD 4.1 Billion Company offering innovative and customer-centric information technology experiences to 800+ customers.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bc446d4f68e46da84af03344401f5204","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/77e0f89f3436390e22682b93a04c4e29","C P Gurnani","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/8f8f45484daf0b91bc28631e2501ecbf"
"79a70750cbe91355","indeed","https://in.indeed.com/viewjob?jk=79a70750cbe91355","https://fa-ewji-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/preview/75960","Analyst","eClerx","MH, IN","fulltime","2024-09-11","","","","","",False,"","","Consulting And Business Services","","","Customer Service Analyst - Voice Process


Mumbai| Full-time (FT) | Customer Operations


Shift Timings – Night Shift |Management Level – A| Travel Requirements - NA


The ideal candidate must possess strong communication skills, with an ability to listen and comprehend information and share it with all the key stakeholders, highlighting opportunities for improvement and concerns, if any. He/she must be able to work collaboratively with teams to execute tasks within defined timeframes while maintaining high-quality standards and superior service levels. The ability to take proactive actions and willingness to take up responsibility beyond the assigned work area is a plus.  



**Analyst Role and responsibilities:**

* Interaction with Techs in field to provide them real time support
* Checking status of services on account in diagnostic tools
* Ensure to take appropriate steps to resolve customer's problems
* Troubleshooting of technical issues related to customer’s services Tier 1.5 support
* Communicate effectively and close looping with client in case of observations
* Updating status in internal as well as client tools
* Meet process expectations with high quality standards and adherence to SLAs
* Candidate shall adhere to the information security requirements
* Keep a track of all technicians with regards to the jobs assigned to them
* Call up customers in case of any delays or to confirm appointments
* Answer inbound calls from technicians and/or customers
* Provision equipment’s on customers’ accounts once the technician has installed them
* Audit work orders for accuracy and make corrections if required
* Check for signal levels on all equipment and certify jobs as completed
* Call up technicians to verify their status if they are taking longer on the job
* Call up customers one hour prior to their appointment window end time to confirm the technician visit time
* Call up customers to verify if they are home or not and take another appointment in case of customers being away
* Add equipment to account in case there is any work order error or if the customer decided to switch some equipment
* Coordinate with technicians and re-assign jobs if some technicians are unable to make it to their appointment
* Reschedule jobs based on available schedule of customers and technicians
* Ensure customer satisfaction by understanding their needs and customizing the solution
* Coordinate with DOJ/DOI team in case of any issues with regards to provisioning or adding equipment
* Fill up the completion report and share with the APM/PM on a daily basis
* Collate and share information for all appointments that are cancelled

**Technical and Functional Skills:**

* Good communication and interpersonal skills
* Ability to quickly and efficiently assimilate process knowledge
* Good at problem solving and root cause analysis
* Professional in conduct/behavior, appearance and communication
* Understanding of web technology and cable setup
* Needs to have ability to adapt to perpetual changes as per Business requirement.
* Must be reliable in terms of attendance and timing
* Flexible for 24X7 Shifts (Night shifts)
* Ability to multi-task – For Ex: take notes while on the call etc.
* Ability of analyzing information and evaluating results to choose the best solution and solve problems
* Basic Knowledge of excel
* Experience in Troubleshooting related process
* Experience in cable or telecom industry
* Ability to analyze information and evaluate results to choose the best solution and solve problems","https://in.indeed.com/cmp/Eclerx","https://careers.eclerx.com/","Building # 11, 4th, 5th & 6th Floor, K Raheja Mindspace, Plot #3
TTC Industrial Area, Thane Belapur Road, Airoli
Navi Mumbai – 400 708
Maharashtra, India","10,000+","$25M to $100M (USD)","eClerx provides critical business operations services to global Fortune 500 clients with a global workforce of 13,000 people.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/1ab5e4737c66b84e230da9b39176d4f8","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/775ecaee20ea2f47fc9cd2905e86ce1f","Anjan Malik, Co-founder and Non-Executive Director","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/00471174774d3d99582052298ca17486"
"afd01b79f9a72753","indeed","https://in.indeed.com/viewjob?jk=afd01b79f9a72753","http://in.indeed.com/job/sr-executive-accounts-afd01b79f9a72753","Sr. Executive Accounts","A P Kamdar & Associates","MH, IN","","2024-09-11","","","","","",False,"","","","","abhijeet@worldwidelp.com","Urgent job opening For Ar. Accountant, Masters/ Commerce Graduates.

Work location : Santacruz (West).

Requirement :

* Experienced in Accounts Receivable, Accounts Payable, Collections, Statement of Accounts, Disbursement Accounts.
* Advance Excel, Formula's, Macro must.
* Presentation, Reports & MIS
* Tally, Logysis (Accounting Software/Packages) domain knowledge preferred.
* Freight Forwarding, Logistics, Air/Ocean Product Knowledge preferred.
* Computer Proficiency and (Written/Verbal) Business communication.
* Willingness to work into Rotational Shifts & 6 Days coverage.
* Willingness to take Accountability and Responsibility.

If Interested, please contact at abhijeet@worldwidelp.com

Job Type: Permanent

Pay: ₹14,972.56 - ₹42,122.96 per month

Benefits:

* Food provided
* Health insurance
* Provident Fund

Schedule:

* Night shift
* Rotational shift
* UK shift
* US shift

Supplemental Pay:

* Yearly bonus

Experience:

* total work: 4 years (Preferred)

Shift availability:

* Night Shift (Required)","https://in.indeed.com/cmp/A-P-Kamdar-&-Associates","","","","","","","","",""
"28bf5ef2ff1a494b","indeed","https://in.indeed.com/viewjob?jk=28bf5ef2ff1a494b","http://in.indeed.com/job/icu-staff-nurse-28bf5ef2ff1a494b","ICU Staff Nurse","","MH, IN","fulltime","2024-09-11","","","","","",False,"","","","","","* Medication administrationNICU nurses must be knowledgeable about medications and their potential side effects, and be able to administer them accurately and in the correct dosage.
* Emotional supportNICU nurses provide emotional support to patients and their families, and educate them on how to care for the baby at home.
* CommunicationNICU nurses act as a liaison between doctors and parents, and between babies and their parents. They need to be able to explain complex situations and medical terminology to parents.
* Treatment plansNICU nurses develop customized care plans for patients, in collaboration with other healthcare professionals.
* Caring for babiesNICU nurses care for newborn babies, including helping with deliveries and assessing their condition after birth.
* EmpathyICU nurses need to be empathetic and sensitive to patients who are experiencing severe medical conditions.
* MultitaskingNICU nurses often have multiple responsibilities at once, such as caring for multiple patients, administering treatments, and monitoring critical levels.
* Assessment skillsICU nurses constantly assess and reassess patients, monitoring their condition and noting any improvements or symptoms

Job Type: Full-time

Pay: ₹18,000.00 - ₹28,000.00 per month

Schedule:

* Day shift
* Evening shift
* Morning shift
* Night shift
* Rotational shift

Supplemental Pay:

* Overtime pay

Experience:

* Nursing: 1 year (Preferred)
* total work: 2 years (Preferred)

License/Certification:

* Nursing License (Preferred)

Work Location: In person","https://in.indeed.comNone","","","","","","","","",""
"5ae4ae5afad46a6a","indeed","https://in.indeed.com/viewjob?jk=5ae4ae5afad46a6a","http://in.indeed.com/job/csr-customer-service-representative-5ae4ae5afad46a6a","CSR (Customer Service Representative)","PropNxT","MH, IN","fulltime","2024-09-11","","","","","",False,"","","","","","Free Placement

We are hiring for international BPOs across Mumbai

Location: Bhayander,. Malad, Andheri, Thane, Airoli and Vikroli.

Process: US UK IRL and Aus

Salary: 14k to 45k Plus incentives ( Depends on previous experience )

Work from office only

Voice process

Rotational Shift ( No pure Day shift )

Eligibility: Minimum SSC with 1 year Exp or HSC or Grad Freshers are welcome

Need excellent Communication skills ( Fluent English is must )

Interested candidates kindly contact on 9136209900

Regards

Raj Rajput

9136209900

Job Types: Full-time, Permanent, Fresher

Pay: ₹13,000.00 - ₹40,000.00 per month

Benefits:

* Health insurance
* Provident Fund

Schedule:

* Evening shift
* Night shift
* Rotational shift

Supplemental Pay:

* Commission pay
* Performance bonus

Language:

* English (Preferred)

Work Location: In person

**Speak with the employer**  
+91 9136209900","https://in.indeed.com/cmp/Propnxt","","","","","","","","",""
"e0b818db289cb66c","indeed","https://in.indeed.com/viewjob?jk=e0b818db289cb66c","http://in.indeed.com/job/international-customer-support-us-e0b818db289cb66c","International Customer Support (US)","The pathfinder","MH, IN","fulltime","2024-09-11","","","","","",False,"","","","","","We are seeking a dedicated and customer-focused International Customer Services Specialist to join our team. The ideal candidate will be responsible for providing exceptional support to our international customers, ensuring their satisfaction and loyalty to our brand.

**Key Responsibilities:**  
- Serve as the primary point of contact for all international customer inquiries, concerns, and requests  
- Communicate with customers via phone, email, or chat in a professional and friendly manner  
- Resolve customer issues effectively and in a timely manner, maintaining high levels of customer satisfaction  
- Process orders, returns, exchanges, and refunds for international customers  
- Collaborate with other departments such as sales, logistics, and marketing to address customer needs  
- Keep accurate records of interactions with international customers and provide reports on service metrics

**Skills & Qualifications:**  
- Proven experience in customer service or related role  
- Fluent in English; additional fluency in one or more foreign languages is highly desirable  
- Excellent communication skills with the ability to empathize with diverse cultural backgrounds  
- Strong problem-solving skills and ability to remain calm under pressure

Job Types: Full-time, Permanent

Pay: ₹30,000.00 - ₹40,000.00 per month

Benefits:

* Commuter assistance

Schedule:

* Night shift
* US shift

Supplemental Pay:

* Performance bonus

Application Question(s):

* Where exactly do you live in Mumbai?
* How many years of international voice process experience do you have?
* Do you have any experience in ""collection process""(voice)?
* Do you have any experience in international sales? (mention the country you were targeting)
* Salary expectations?
* Current salary?

Language:

* English (Required)

Work Location: In person","https://in.indeed.com/cmp/The-Pathfinder-4","","","","","","","","",""
"fce7df9700870e47","indeed","https://in.indeed.com/viewjob?jk=fce7df9700870e47","http://in.indeed.com/job/international-collection-executive-fce7df9700870e47","International collection executive","The pathfinder","MH, IN","fulltime","2024-09-11","","","","","",False,"","","","","","The International Collection Executive is responsible for managing and overseeing the collection of delinquent accounts from international clients or customers. The role involves communicating with debtors, coordinating payment arrangements, and ensuring compliance with company policies and relevant regulations.

**Responsibilities:**  
1. Contacting international debtors through various communication channels to negotiate payment terms and arrangements.  
2. Maintaining accurate records of all communications and financial transactions related to the collection process.  
3. Collaborating with legal and compliance teams to ensure adherence to international debt collection laws and regulations.  
4. Analyzing delinquent accounts, identifying reasons for non-payment, and developing strategies for effective recovery.  
5. Working closely with internal departments such as sales, customer service, or finance to resolve outstanding issues impacting payments.  
6. Providing regular updates on collection activities to management through detailed reports or presentations.  
7. Utilizing negotiation skills to reach mutually beneficial agreements with international debtors while maintaining professional conduct.

**Requirements:**  
1.Experience in international debt collection or a related field is preferred but not mandatory depending on the level of engagement required by the organization  
2.Familiarity with international regulations governing debt collection practices in various countries is advantageous.  
3.Exceptional communication skills, including proficiency in written and spoken English (additional language skills may be beneficial).  
4.Strong problem-solving abilities with a focus on finding solutions that align with both business objectives and regulatory requirements.

Job Types: Full-time, Permanent

Pay: ₹30,000.00 - ₹40,000.00 per month

Benefits:

* Commuter assistance

Schedule:

* Night shift
* US shift

Application Question(s):

* Are you comfortable working night shifts?
* Where exactly do you live in Mumbai?
* Do you have experience in international voice process? (inbound or outbound)
* Do you have experience in international sales , international customer services or international collection process? (number of years and the experience )
* Have you worked for a BPO before?
* What is your current CTC?
* What is your expected CTC?

Language:

* English (Required)

Work Location: In person","https://in.indeed.com/cmp/The-Pathfinder-4","","","","","","","","",""
"a5c8911b14766132","indeed","https://in.indeed.com/viewjob?jk=a5c8911b14766132","http://in.indeed.com/job/night-auditor-manager-a5c8911b14766132","Night Auditor / Manager","V. K. Lalco Group","MH, IN","fulltime","2024-09-11","","","","","",False,"","","","","","**Job Summary:** The Night Auditor / Manager is responsible for overseeing the hotel's financial transactions and guest services during the overnight shift. This role combines accounting duties with front desk management, ensuring smooth operations and excellent guest service throughout the night.

**Key Responsibilities:**

1. Financial Auditing: Perform nightly accounting on IDS Software, including balancing all

financial transactions and reconciling accounts. Prepare daily financial reports, including

income and expenditure statements, to ensure accuracy and compliance with company

policies. Verify and post all revenue and expenses into the hotel’s accounting system.

2. Guest Services: Provide exemplary guest service, addressing any guest inquiries,

concerns, or complaints promptly and professionally. Check guests in and out of the

hotel, ensuring accurate and efficient processing of reservations and payments. Handle

cash, credit card transactions, and perform end-of-day procedures for front desk

operations.

3. Night Operations Management: Supervise the night shift staff, ensuring all tasks and

responsibilities are completed efficiently. Monitor the security of the hotel, performing

routine checks to ensure the safety of guests and employees. Coordinate with

housekeeping and maintenance departments to address any issues that arise during the

night.

4. Compliance and Reporting: Ensure compliance with all hotel policies, procedures, and

regulations. Generate and distribute daily activity and financial reports to the appropriate

departments.

Qualifications: Education: High school diploma or equivalent; Bachelor’s degree in

Hospitality Management, Accounting, or a related field preferred.

Experience: Previous experience in a hotel front desk or accounting position is highly

desirable. Supervisory or management experience preferred.

Skills: Strong numerical and analytical skills with attention to detail. Excellent customer

service and communication skills. Proficiency in hotel management software and

Microsoft Office Suite. Ability to work independently with minimal supervision. -

Problem-solving abilities and capacity to handle stressful situations effectively.

Availability to work overnight shifts, including weekends and holidays.

Working Conditions: This position operates in a hotel environment, with the majority of

work performed during the night shift.

Job Type: Full-time

Pay: ₹30,000.00 - ₹32,000.00 per month

Benefits:

* Health insurance
* Provident Fund

Schedule:

* Night shift
* Weekend availability

Supplemental Pay:

* Yearly bonus

Experience:

* Hotel: 1 year (Required)

Language:

* English (Required)

Work Location: In person","https://in.indeed.com/cmp/V.-K.-Lalco-Group","","","","","","","","",""
"8b387c5ed6e96e95","indeed","https://in.indeed.com/viewjob?jk=8b387c5ed6e96e95","http://in.indeed.com/job/international-voice-process-8b387c5ed6e96e95","International voice process","Astrid the job consultant","MH, IN","fulltime","2024-09-11","","","","","",False,"","","","","","International BPO

Immediate Joining

24/7 Customer Service Process

Shift Time - Rotational Shifts

Week Off - 5 days working 2 days’ week off (Rotational)

Education - HSC minimum Experience -Fresher and Experience (BPO and non BPO) both can apply

Salary between 15K to 40K depending on the experience

Location: Malad/Bhayendar/ Thane

Job Types: Full-time, Permanent

Salary: ₹20,000.00 - ₹35,000.00 per month

Job Types: Full-time, Permanent

Pay: Up to ₹35,000.00 per month

Benefits:

* Cell phone reimbursement
* Health insurance
* Internet reimbursement
* Life insurance
* Paid sick time
* Paid time off
* Provident Fund

Schedule:

* Day shift
* Fixed shift
* Monday to Friday
* Morning shift
* Night shift
* Rotational shift
* US shift

Supplemental Pay:

* Commission pay
* Performance bonus
* Quarterly bonus
* Yearly bonus

Experience:

* International voice process: 1 year (Required)

Work Location: In person

Expected Start Date: 10/10/2024","https://in.indeed.com/cmp/Astrid-the-Job-Consultant","","","","","","","","",""
"de0a1c93ece1db74","indeed","https://in.indeed.com/viewjob?jk=de0a1c93ece1db74","http://in.indeed.com/job/customer-care-executive-wfh-only-mumbai-candidates-de0a1c93ece1db74","Customer Care Executive (WFH) only for mumbai candidates","Venture Quest","MH, IN","fulltime","2024-09-11","","","","","",True,"","","","","","Process - FIS

Excellent communication and fluency in English is required

Work from home (System will be provided by the company)

International Voice Process

5 days working with 2 rotational week off

Rotational Shifts(24/7 any 9 hours shift)

Virtual interviews

Rounds of interview - HR Round , Assessment ,Ops round

Only candidate from Mumbai can apply

Salary for Graduate Fresher- 28K in hand

HSC/ Graduate (6 Month Experience in BPO) - 32K in hand

Graduate /HSC (Any other Experienced) - 30K in hand

15 days of Initial Training will be from office

Required Candidate profile

Graduate fresher and experienced can apply

Undergraduate with 6 months on paper experience can apply

Need immediate joiners only

INTERESTED CANDIDATES CAN CALL / WHATSAPP HR Kanchan @8979622125

Job Types: Full-time, Permanent, Fresher

Pay: ₹15,000.00 - ₹32,000.00 per month

Benefits:

* Health insurance
* Paid sick time
* Provident Fund

Schedule:

* Evening shift
* Night shift
* Rotational shift
* US shift

Supplemental Pay:

* Commission pay
* Performance bonus
* Shift allowance

Education:

* Higher Secondary(12th Pass) (Preferred)

Experience:

* total work: 1 year (Preferred)
* Customer service: 1 year (Required)
* International voice process: 1 year (Required)

Language:

* English (Required)

Work Location: Remote","https://in.indeed.com/cmp/Venture-Quest-5","","","","","","","","",""
