"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"f4430200f67f41f0","indeed","https://www.indeed.com/viewjob?jk=f4430200f67f41f0","http://www.indeed.com/job/veterinary-technician-f4430200f67f41f0","Veterinary Technician","Lenox Hill Veterinarians","New York, NY, US","parttime, fulltime","2024-09-11","direct_data","hourly",25.0,36.0,"USD",False,"","","","","","* Busy Manhattan small animal veterinary practice seeks experienced vet tech for a full time position. Lenox Hill Veterinarians has been serving New York City since 1973 and is a full-service medical, surgical, and dental facility; treating dogs, cats, and exotic animals in the Upper East Side of Manhattan. We are looking for a team player with excellent communication skills and a strong desire to provide the highest quality of care to our patients. If you are looking to utilize all of your skills as a LVT and feel directly involved in patient care, then this is a wonderful opportunity for the right individual. Responsibilities include but are not limited to: anesthetic monitoring; digital radiology; assisting in surgery; performing dental cleanings and dental radiology; and monitoring, caring for, and administering a wide variety of treatments to all hospitalized patients. Schedules to be determined but will include weekend hours, on-call responsibilities, and at least 1 holiday. Benefits include: Tuition Reimbursement, Continuing Education; 401K Matching; paid holidays; 2 weeks paid vacation. Salary is competitive and directly related to experience

Job Types: Full-time, Part-time

Pay: $25.00 - $36.00 per hour

Benefits:

* 401(k) matching
* Employee discount
* Health insurance
* Paid time off
* Professional development assistance
* Tuition reimbursement

Schedule:

* 10 hour shift
* 12 hour shift
* 8 hour shift
* Holidays
* Monday to Friday
* Overnight shift
* Weekends as needed

Ability to Relocate:

* New York, NY 10075: Relocate before starting work (Required)

Work Location: In person","https://www.indeed.com/cmp/Lenox-Hill-Veterinarians-2","http://lenoxhillveterinarians.com/","","","","","","","",""
"10b4f16c012efd76","indeed","https://www.indeed.com/viewjob?jk=10b4f16c012efd76","https://homedepot.contacthr.com/142305160","Assistant Store Manager – Night Operations","The Home Depot","Brooklyn, NY, US","","2024-09-11","direct_data","yearly",61850.0,89350.0,"USD",False,"","","","","","**Position Purpose:**


Assistant Store Managers in Training are learning the various responsibilities and functions of the following roles: Assistant Store Manager, Operations Assistant Store Manager, Night Operations Assistant Store Manager, and Specialty Assistant Store Manager. At a high level, ASM's in Training will learn how to support the Store Manager in developing strategies and objectives toward driving store sales and profitability. They will learn how to accomplish these objectives through effective leadership of and communication to their Associates.

 **Key Responsibilities:**

* General Customer Service Initiatives to include supervising Associates in the selling effort, ensuring the store's in-stock position, and maintaining an appealing and organized store
* appearance. ASM's in Training will learn the following tactics to support this key accountability: staffing and scheduling, identifying and resolving stock deficiencies, supervisor associates in selling behaviors, resolving customer issues and concerns, and supporting service needs for both installed sales/special orders and product sales.
* Supervising Store Associates to include interviewing, hiring, motivating, coaching, training,developing, and communicating to associates. ASM's in Training will also learn the performance management process, to include semi-annual review of associate performance and how to execute the associate disciplinary process when necessary.
* Operations Management to include supervision of front end processes involving sales and return transactions, as well as special services and lot support. ASM's in Training will also learn
* how to oversee the back end processes, including receiving and freight teams to ensure that merchandise is received and stocked appropriately. They will also learn how to maintain and
* operate all store equipment and systems as well as how to manage daily financial operations. ASM's in Training should develop a command of store standard operating procedures (SOP's),
* especially those involving Safety compliance.
* Business Analysis and Merchandise Planning Initiatives to include driving department profitability through analysis of sales trends. ASM's in Training will learn how to work with key partners (Store Managers, Field Merchandising, MET Teams) to plan merchandise placement and signing. They will also learn how to support stock integrity through inventory management processes.

 **Direct Manager/Direct Reports:**

* ASM's in Training will report to a Store Manager. Once complete with their training process, they will gradually assume accountability supervision of work activities of associates.

 **Travel Requirements:**

* Typically requires overnight travel less than 10% of the time.

 **Physical Requirements:**

* Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

 **Working Conditions:**

* Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

 **Minimum Qualifications:**

* Must be eighteen years of age or older.
* Must be legally permitted to work in the United States.

 **Preferred Qualifications:**

* No additional qualifications

 **Minimum Education:**

* The knowledge, skills and abilities typically acquired through the completion of a high school diploma and/or GED.

 **Preferred Education:**

* No additional education

 **Minimum Years of Work Experience:**

* 3

 **Preferred Years of Work Experience:**

* No additional years of experience

 **Minimum Leadership Experience:**

* None

 **Preferred Leadership Experience:**

* None

 **Certifications:**

* None

 **Competencies:**

* Acts with Integrity: Role model for ethical behavior; consistent and fair in dealings with others.
* Product Knowledge: Knows and effectively promotes all areas, products, services, and procedures. Knows the competition
* Excels in Customer Service: Creates customer focused environment; provides excellent service.
* Inspires Achievement: Initiates actions to develop Associates; provides performance feedback and recognizes accomplishments
* Safety Orientation: Enforces safety policies and procedures; is a safety role model
* Delivers Results: Creates a sense of urgency; delegates appropriately; motivates self and team to accomplish objectives.","https://www.indeed.com/cmp/The-Home-Depot","http://www.careers.homedepot.com","Atlanta, GA","10,000+","more than $10B (USD)","We are the world’s largest home improvement retailer. Our scale and resources let us have a huge impact on the world of retail and in local communities.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0b8960c68e5701f4a990dedad687d150","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/3632ac163164fc4ac575c0bd1b2dbf65","Ted Decker","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/51d487cd1aa5b9e792b2efd79d7a52b5"
"9e9df999c302948f","indeed","https://www.indeed.com/viewjob?jk=9e9df999c302948f","https://manhattan.hrmdirect.com/employment/view.php?req=3073123&jbsrc=1014&location=099a3bdf-a8b8-d466-7766-d3e7ccd650b0","Public Safety Officer","Manhattan University","Riverdale, NY, US","fulltime","2024-09-11","direct_data","hourly",20.0,21.0,"USD",False,"","","Education And Schools","","","**PUBLIC SAFETY OFFICER- FULL TIME (2 positions available)**


**Hourly Rate** **w****ithout** **the Fire Guard License:** **$20.51**

**Hourly Rate** **with** **the Fire Guard License: $21.53**


**Shift Differential of 10% for Evenings and Nights**

**Additional $1.00 per hour if you have a Fireguard license or once its obtained which is mandatory**


**Overtime is mandatory**


**Superior Benefit Package ( see below)**


**ABOUT PUBLIC SAFETY:**


The Manhattan University Department of Public Safety endeavors to provide a safe, secure, and welcoming environment for the University community, its visitors, and guests. Our goal is to support the Lasallian heritage and educational mission of the College by fostering a sense of respect, cooperation, and ethical behavior among the members of our community. The Department of Public Safety remains diligent in its efforts to maintain order on campus while promoting a setting free of crime, fear, and lawlessness.


**ABOUT THE POSITION:**


Public Safety Officers (PSOs) are vital to promoting a safe and secure campus. They maintain law and order on the campus, enforce University regulations, and request assistance from law enforcement agencies when necessary. Qualified candidates will have excellent written and verbal communication, strong interpersonal skills, and sound judgment. PSOs report to Manhattan University Supervisors and are responsible for the following:


* Protect Manhattan University personnel and facilities against the hazards of fire, accidents and vandalism; enforce all regulations, including those in department manual for Security Officers
* Secure premises and personnel by patrolling property; monitoring surveillance equipment; inspecting buildings, equipment, and access points; permitting entry
* Protect the building structure and grounds to which officer is assigned, including the contents, occupants and visitors; patrol as assigned and seek out and take preventive action against existing hazards or conditions which may cause injury, damage or interference with normal operation, and report same immediately
* Complete reports by recording observations, information, occurrences; interviewing witnesses; obtaining signatures
* Ensure operation of equipment and systems; troubleshooting malfunctions; calling for repairs
* Follow procedures for various initiatives, including fire prevention, property patrol, parking enforcement and accident investigations
* Guide visitors and assist in a courteous manner; return lost or found articles to Public Safety Office; assists ill or injured persons in obtaining care, and report such events immediately by radio and on proper report forms
* Public Safety Officers are required to use computer systems and other technology, namely access control, visitor management and security camera systems
* Public Safety Officer will be assigned to work either a day, evening, or overnight shift depending on the needs of the department. The position requires the Security Officer work holidays, weekends, nights, and a variety of shifts and overtime when circumstances warrant. PSOs are considered Essential Personnel in order to maintain the safety and security of University property, personnel, affiliates and visitors
* Perform related duties as assigned

**REQUIREMENTS:**


* High School Diploma or equivalent
* Valid NYS Guard License, NYS Dept. of State’s 8-hour mandated certificate training
* First Aid Certification, F-01/F-03/F-04 COF license a plus. Will be required to obtain after hire 90 days to Minimum 1-year prior security experience
* Prior experience in college campus a plus
* Must be physically fit
* Able to engage in strenuous physical activity, including walking, climbing stairs, as well as standing or sitting for long periods of time
* Willing and able to perform duty in inclement weather conditions
* Ability to write legible reports, use a portable radio, and use judgment that is sound and proper when addressing emergencies

**BENEFITS:**

* Medical, Dental, Vision, and Life Insurance
* Retirement plan- TIAA-CREF/SRA
* Vacation, Holiday, and Sick Time
* Tuition benefits for employee, spouse, and dependents

***Manhattan College is an independent Catholic coeducational institution in the Lasallian tradition. We expect our faculty, administration, and staff to be knowledgeable about our mission and to make a positive contribution to the mission. Applicants from historically under-represented segments of the population are encouraged to apply, as well as those attracted to a college with a Catholic identity. We are committed to a diverse campus community. AA/EO Employer M/F/D/V***","https://www.indeed.com/cmp/Manhattan-University-1","http://www.manhattan.edu","The Bronx","201 to 500","$100M to $500M (USD)","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f27f62ad8cf014f23b35d7c4528de6b1","","",""
"ce565e783f728cec","indeed","https://www.indeed.com/viewjob?jk=ce565e783f728cec","https://foodauthority.hrmdirect.com/employment/view.php?req=2996077&jbsrc=1014&location=035a39de-08ed-eef1-feef-fc2e59d6f3b7","CDL B Driver","Food Authority","Hauppauge, NY, US","","2024-09-11","","weekly","","","USD",False,"","","Food And Beverages","","","**Job description**


Come Join our Team! $5,000.00 Sign on Bonus!


At Food Authority, we ensure delivery and inventory management of temperature-controlled product to customer locations. We exceed our customer’s expectations with a level of service that can only be counted on from Food Authority. In a rapidly changing distribution market, we are always looking for great people to come join our FAmily.


We’re looking to hire experienced CDL B Delivery Drivers


Shift: Daily dispatch between 8pm-9pm, home every day


Location: Hauppauge


CDL B Driver Weekly Salary: $1,200.00


***Delivery Driver Qualifications:***


**Minimum Driver Requirements:**


* Drivers must be 21 years of age.


* Drivers must have a minimum of 2 years of verifiable commercial driving experience in the last 3 years.


* Drivers must have a current drivers’ license and current DOT medical card.


* No CDL accidents in the last 36 months (3 years).


* No major violations or suspensions in the last 36 months


* No suspension related to driving performance in the last 36 months (3 years).


* Must be able to work overnight


* Must be able to work Friday and Sunday nights


**Preferred Driver Requirements**


* Minimum 1-year prior Food Distribution Experience


* Prior experience delivering from a liftgate.


* Minimum 1 year material handling equipment experience.


* Prior experience working an overnight shift.


**Driver Responsibilities:**


* Ensure shipment of temperature-controlled and undamaged product, proper
* count of goods at customer locations, assuring inventory levels are FIFO in the customer locations.
* Management of Driver Apprentice/Helper.
* Drive vehicles to designated destinations for customer product deliveries.
* Drive safely and deliver products within deadlines.
* Load and unload products from trucks or trailers.
* Put product away based on customer specifications.
* Maintain driving log, prepare vehicle performance forms, and complete daily paperwork.
* Follow DOT regulations and safety standards.
* Follow set, scheduled route for daily deliveries.
* Maintain and organize all delivery paperwork and deliver it to the proper personnel at the end of each shift
* Perform pre- and post-trip inspection


**Physical requirements:**


* The ability to lift 25/50/80 pounds regularly.
* The ability to respond quickly to sounds.
* The ability to move safely over uneven terrain or in confined spaces.
* The ability to see and respond to dangerous situations.
* The ability to see well at night and drive in the dark.


All potential applicants- There will be a road test in a Food Authority truck prior to


employment offer.


**Why choose Food Authority?**


We offer a competitive salary commensurate with experience


Great opportunities for advancement


Comprehensive benefits package (medical, dental, vision, time-off/ Including 5 paid holidays, 401K with a great company match, and paid on a weekly basis).


We are an Equal Employment Opportunity Employer: Race, Religion, Color, National


Origin, Citizenship, Sex, Age, Disability, Ancestry, Veteran Status, Genetic Information.


In addition to federal law requirements, Food Authority complies with applicable state.


and local laws governing nondiscrimination in employment in every location in which


the company has facilities.","https://www.indeed.com/cmp/Food-Authority","http://www.foodauthority.com","Hauppauge NY","501 to 1,000","","","","","",""
"2929a9bdcc89ced6","indeed","https://www.indeed.com/viewjob?jk=2929a9bdcc89ced6","http://www.indeed.com/job/personal-care-assistanthome-health-aide-spanish-speaking-2929a9bdcc89ced6","Personal Care Assistant/Home Health Aide Spanish Speaking","Caring Connections","Spring Valley, NY, US","parttime, fulltime","2024-09-11","","hourly","","","USD",False,"","","","","","**Company:** Caring Connections Home Care  
**Location:** Spring Valley, NY & surrounding towns in Rockland County, NY  
**Position:** Part-Time and Full-Time Personal Care Assistants (PCA) and Home Health Aides (HHA)

**About Us:**

Caring Connections Home Care is dedicated to providing compassionate and reliable care to seniors in Spring Valley, NY and the surrounding towns of Rockland County, NY. We strive to ensure that our clients receive top-quality, personalized care that improves their quality of life while helping them maintain their independence.

**Position Overview:**

We are currently hiring both part-time and full-time **Personal Care Assistants (PCA)** and **Home Health Aides (HHA)** **(Males & Females)** to join our team. If you are passionate about helping seniors, empathetic, and have a strong sense of responsibility, we want to hear from you! Currently accepting applications for Bilingual English & Spanish speaking aides.

**Key Responsibilities:**

* Assist clients with daily living activities, including personal hygiene, grooming, dressing, bathing, and mobility assistance.
* Provide companionship and emotional support to enhance clients’ well-being.
* Support with light housekeeping tasks, such as meal preparation, laundry, and cleaning.
* Assist with medication reminders and monitor clients’ health conditions.
* Help clients with transportation to medical appointments, errands, and social activities.
* Document care provided and report any changes in clients’ condition to the supervising nurse or care manager.
* Follow individualized care plans to meet each client’s specific needs.

**Requirements:**

* **Valid PCA or HHA Certificate** is required.
* **English proficiency** is required.
* Must have a **valid driver’s license** and **reliable vehicle** available.
* Demonstrated compassion, empathy, and a strong desire to work with seniors.
* **Proven track record** of providing excellent care to elderly individuals.
* Must be reliable, responsible, and capable of working independently.

**Benefits:**

* Competitive pay with opportunities for growth.
* Flexible scheduling for part-time and full-time positions.
* Paid training and continuous professional development.
* A supportive and friendly work environment.
* Opportunities to make a real difference in the lives of seniors in your community.

**Location:**

This position covers **Spring Valley, NY** and surrounding towns in **Rockland County, NY**.

If you are a compassionate caregiver looking to join a team that values your dedication and commitment, apply today to become part of the Caring Connections Home Care family!

**To Apply:** Please submit your resume and proof of valid PCA or HHA certification.

Job Types: Full-time, Part-time

Pay: From $17.55 per hour

Expected hours: 30 – 40 per week

Benefits:

* Flexible schedule

Medical Specialty:

* Home Health

Language:

* English (Required)
* Spanish (Required)

License/Certification:

* Driver's License (Required)
* HHA or PCA Certificate (Required)

Work Location: In person","https://www.indeed.com/cmp/Caring-Connections","","","","","","","","",""
"e26bad8832803587","indeed","https://www.indeed.com/viewjob?jk=e26bad8832803587","http://www.indeed.com/job/esthetician-e26bad8832803587","Esthetician","Noreen's Beauty","New York, NY, US","parttime, fulltime","2024-09-11","direct_data","hourly",23.0,27.0,"USD",False,"","","","","","\\*\\*Overview:\\*\\* We are seeking a highly skilled and experienced Esthetician to join our team in a Med Spa setting. As an Esthetician, you will be responsible for providing exceptional skin care and beauty treatments to our clients. This role requires a passion for delivering high-quality services while maintaining a clean and welcoming environment. \\*\\*Duties:\\*\\* - Perform a variety of esthetic treatments, including facials, chemical peels, microdermabrasion, and waxing. - Provide personalized consultations to clients to determine their specific skin care needs. - Use color theory knowledge to recommend skin care products and treatments that align with each client's skin type and tone. - Stay up-to-date with the latest trends and techniques in the beauty industry, and continue to develop your skills through ongoing education and training. - Utilize salon software to manage client appointments, schedules, and records. - Work effectively in a fast-paced environment and maintain a positive attitude, even during peak hours. - Collaborate with other spa professionals to provide comprehensive services to clients. - Offer additional services such as eyelash extensions, hair threading, and nail care to enhance the client experience. - Manage inventory and restock supplies as needed. - Maintain a clean and organized workspace, adhering to high standards of sanitation and hygiene. \\*\\*Qualifications:\\*\\* - Current esthetician license in the state where the spa is located. - Strong knowledge of skin care and beauty treatments, including chemical peels, microdermabrasion, and waxing. - Experience with salon software and retail sales. - Ability to work well under pressure and maintain a positive attitude in a fast-paced environment. - Excellent communication and interpersonal skills. - Ability to manage multiple tasks at once and prioritize responsibilities. - Familiarity with social media management and the ability to promote the spa and its services online. - Knowledge of tattooing and nail care techniques is a plus. - Experience in a Med Spa setting is highly desirable. - Strong attention to detail and commitment to delivering high-quality services. \\*\\*Skills:\\*\\* - Sales and retail sales experience. - Social media management skills. - Experience with eyelash extensions and hair threading. - Knowledge of color theory and its applications in skin care and beauty treatments. - Experience with salon software and retail sales. - Familiarity with tattooing and nail care techniques. - Experience in a Med Spa setting.

Job Types: Full-time, Part-time

Pay: $23.64 - $27.34 per hour

Benefits:

* Employee discount
* Flexible schedule
* Paid time off

Schedule:

* 4 hour shift
* 8 hour shift
* Day shift
* Every weekend
* Morning shift
* No nights
* No weekends
* Overnight shift
* Weekends as needed
* Weekends only

Supplemental Pay:

* Bonus opportunities
* Commission pay
* Monthly bonus
* Signing bonus
* Tips

Experience:

* Customer service: 1 year (Preferred)

License/Certification:

* Cosmetology License (Preferred)

Shift availability:

* Day Shift (Preferred)
* Night Shift (Preferred)

Ability to Commute:

* New York, NY 10065 (Required)

Ability to Relocate:

* New York, NY 10065: Relocate before starting work (Required)

Work Location: In person","https://www.indeed.com/cmp/Noreen's-Beauty","","","","","","","","",""
"01eb234094b8b712","indeed","https://www.indeed.com/viewjob?jk=01eb234094b8b712","http://www.indeed.com/job/patient-care-coordinator-01eb234094b8b712","Patient Care Coordinator","ACI","Brooklyn, NY, US","fulltime, perdiem","2024-09-11","","hourly","","","USD",False,"","","","","","ACI was rated by Newsweek as the ***#6 Best Addiction Treatment Center in the U.S.*** in 2022!

The largest addiction treatment facility in NY is looking for a compassionate, empathetic, knowledgeable, and charismatic patient care coordinator to provide top quality care to our patient population.

As a **Patient Care Coordinator**, you play a direct role in saving the lives of our patients each day by serving our residents in a safe environment promoting long term recovery. You will partner with the various departments to establish and maintain a therapeutic environment and routine for our patients.

**Position Offers:**

* 1199 Membership
* Union Benefits
* 401K matching
* Supportive Teammates and Management
* Growth
* Employee Recognition Programs
* Company Events and gifts throughout the year

**About the ACI**

ACI has been around for over 40 years, providing substance abuse treatment and harm reduction through various approaches in the NYC area. In 2021, under new management, we relocated our Inpatient Facility to Brownsville, BK and opened a state-of-the-art, 181 bed, 6 floor facility that houses an open rooftop, a gym, a barber shop, computer room, theater and recreational rooms with games on each of the patient floors. We are working everyday towards improving patient experience by focusing on bringing top qualified staff, providing excellent supervision, continued training and development, and patient engagement, amongst the top items.

Become part of our ACI Family and be an integral part of our growth and success that will make ACI the #1 Addiction Treatment Facility in the country.

Job Types: Full-time, Per diem

Pay: $17.78 per hour

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Employee discount
* Health insurance
* Life insurance
* Paid time off
* Vision insurance

Schedule:

* 8 hour shift
* Day shift
* Evening shift
* Monday to Friday
* Night shift
* Overnight shift
* Overtime
* Weekends as needed

Work Location: In person","https://www.indeed.com/cmp/Aci-7a8bfbd3","https://acirehab.org/","589 Rockaway Avenue;
Brooklyn, NY 11212","51 to 200","$5M to $25M (USD)","We are an agency that is focused on Saving Lives and Dreams of all of our patients. We are looking for individuals who are wholeheartedly ready to commit to this patient-centered approach.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/121d2de389b2003ed8b914d04a720dac","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/22cf3cb5bd1a1cf7473a5355c8003dba","",""
"5951b27f57828a7b","indeed","https://www.indeed.com/viewjob?jk=5951b27f57828a7b","http://www.indeed.com/job/overnight-sitter-4-year-old-read-job-description-details-5951b27f57828a7b","OVERNIGHT SITTER for 4 Year old, READ JOB DESCRIPTION FOR DETAILS.","Cooper Industries","North Brunswick, NJ, US","fulltime","2024-09-11","direct_data","hourly",18.0,20.0,"USD",False,"","","Industrial Manufacturing","","","For starters I'm only hiring women at this time it's a comfort level situation. I also DO NOT speak Spanish.

This is an OVERNIGHT POSITION for the hours of 5pm-630am 3 days a week (Wed-Fri). The start time is NOT flexible, my son has to be picked no later then 5pm from school, come 501 the school will charge a late fee if he's not picked up. So you have to be on time and have your own reliable transportation. Dinner time is 630, and bedtime is 930.

My son is not big on electronics, which is why I believe his imagination is so strong. The point of the job is to burn him out so he'll be tired for bedtime, once he's asleep your time is your own to do as you please.

When it comes to burning him out an unorthodox style is needed. You'll need to use reverse psychology as well as role play. You'll have to start a game on your own and use these styles to draw him in. Going in different rooms to talk to imaginary people, as well as VOICING that areas or activities are exclusively for you and no one else will get his attention making him want to join what ever it is your doing. That's when you'll be able to start burning him out. If you try calling him over or making it known you need his help to start a game then your attempt will fail. Just to be clear this style is only used for play time which is about 3hrs total but not consecutive.

When applying be sure to check your inbox the same day, I'll send you a message shortly after applying with further instructions.

Job Type: Full-time

Pay: $18.00 - $20.00 per hour

Expected hours: No more than 42 per week

Benefits:

* Paid time off

Shift:

* Overnight shift

Experience:

* Babysitting: 1 year (Preferred)

License/Certification:

* Driver's License (Required)

Ability to Commute:

* North Brunswick, NJ 08902 (Required)

Ability to Relocate:

* North Brunswick, NJ 08902: Relocate before starting work (Preferred)

Work Location: In person","https://www.indeed.com/cmp/Cooper-Industries","http://www.cooperindustries.com/content/public/en.html","Chicago, Illinois, The United States","10,000+","$5B to $10B (USD)","","","","",""
"aa0b1f68f69e12ea","indeed","https://www.indeed.com/viewjob?jk=aa0b1f68f69e12ea","http://www.indeed.com/job/professional-dog-walker-wanted-aa0b1f68f69e12ea","Professional Dog Walker Wanted","GodoG","Brooklyn, NY, US","parttime, fulltime","2024-09-11","","hourly","","","USD",False,"","","","","","**About us**

**We are a soulful, dedicated and loving dog care company looking for new team members who embody our ethics**

**You**

**LOVE DOGS!**

**We know! That’s why you’re here!**

Do you speak DOG? Do dogs tend to gravitate toward YOU? Do you have “A WAY” with dogs? You just may be the kinda’ ROCK STAR DOG WALKER we are looking for!

Are you an artist, musician, writer, actor, designer or performer?

**So are we!**

Are you looking for steady yet flexible work, to supplement your income all the while doing something meaningful and enriching?

**We offer that!**

Perhaps you are over being cooped up in an office or you’re burnt-out on the hospitality industry and you’ve often imagined how cool it would be to just be doted on by dogs all day for a living?

**That job exists! We swear! It’s this!**

*We have multiple positions to fill and are hiring immediately.*

GoDoG Professional Dog Care, established in 2008, is a popular brand serving South and Northwest Brooklyn. We are a passionate and dedicated team of dog care professionals who value building longstanding and nurturing relationships with our animals and their humans.

*While experience is preferred, we do not require professional dog care experience. If you have the “it factor” with the animals and the right attitude, we will happily teach you everything you need to know.*

**Compensation:**

**Entry-Level Handler**: Little to no professional and pack-walking experience. *$20/hr upon hiring.*

**Junior Handler**: A minimum of one-year experience walking multiple dogs at a time for a professional company (day care does not apply) *Wage negotiable.*

**Senior Handler:** A minimum of two years of experience walking multiple dogs at a time for a professional company. *$22/hr upon hiring*

**What we are offering:**

* Paid Sick Days
* Paid Annual CitiBike Pass after 3 Months for the first year
* Referral bonuses for new business and new walkers
* Opportunities for weekend walks at a higher rate
* Opportunities to do overnight sitting for $80 per night
* All the benefits of being a W2 Employee as opposed to an independent contractor: Paid Sick Days, Paid Family Leave, Disability, Workmen’s Comp, Direct Deposit, Taxes taken out for you
* The potential to move into management or utilize other skills you may have: video, design, marketing, administrative
* Reliable Field support
* Comprehensive Paid Training
* Insurance and Bonding

**What we require:**

* Must be available for at least 15 hours between 10:00 am and 6:00 pm weekdays
* A smartphone with an ample data plan
* Minimum 1 year commitment
* Willing to ride a bike or scooter for the job
* Must live within, or very close to our service area ( see bottom of post )
* Desire and availability for overnight sits and occasional weekend walks
* Comfortable working with breeds of all sizes and temperaments
* Able to walk up to three dogs at once
* Excellent time-management and communication skills
* A “can-do/will-do” attitude, curious, enthusiastic and committed

**Bonus points to those applicants that:**

* Are a bike owner or avid rider
* Have previous professional dog walking or training experience
* Own a dog who lives here with you in NYC
* Have a bachelor’s degree
* Can occasionally do weekend visits
* Have a driver’s license

**Please submit a cover letter with your resume.**

If you don’t know what to write, tell us briefly about yourself.

What is your experience with dogs? Are you currently working or in school? Why do you want to be a dog walker? Why do you think you would be a great dog walker? What are your aspirations, hobbies, interests? Photos of you and dogs are always welcome.

**Applications without cover letters will not be reviewed.**

**Please do not send attachments**

**Please do not Telephone**

**If your dog care experience is with Wag or Rover, please include a link to your profile with those organizations**

**If you have pre-made travel plans that see you leaving town for more than three business days in the next couple of months, please do not apply until you return.**

**Neighborhoods we currently serve:**

Park Slope, Carroll Gardens, Gowanus, Boerum Hill, Cobble Hill, Downtown Brooklyn, Fort Greene, Clinton Hill, Prospect Heights, Greenwood, South Slope

**We invite you to check out our Instagram to get a feel for our culture @godogbrooklyn**'  
'

Job Types: Full-time, Part-time

Pay: From $20.00 per hour

Expected hours: 15 – 25 per week

Benefits:

* 401(k) matching
* Flexible schedule
* Professional development assistance

Schedule:

* Choose your own hours
* Day shift
* Monday to Friday
* No nights

Application Question(s):

* Do you own a bicycle or an electric mode of transportation or have a Citibike membership and if any, are you willing to use for this position ?
* Did you read the entire application and have you included a cover letter telling us a bit about yourself and your interest in the position ?

Experience:

* professional dog handling: 1 year (Preferred)

Shift availability:

* Day Shift (Required)
* Overnight Shift (Preferred)

Work Location: In person","https://www.indeed.com/cmp/Godog","","","","","","","","",""
"162b2bd4f8c4fa09","indeed","https://www.indeed.com/viewjob?jk=162b2bd4f8c4fa09","http://www.indeed.com/job/direct-support-professional-dsp-162b2bd4f8c4fa09","Direct Support Professional (DSP)","United Preschool (Cerebral Palsy of Westchester)","White Plains, NY, US","parttime, fulltime","2024-09-11","direct_data","hourly",16.0,18.0,"USD",False,"","","","","","**About us**

Cerebral Palsy of Westchester provides services to children and adults with all developmental disabilities including Autism, neurological impairments, intellectual disabilities, epilepsy and cerebral palsy. Our mission is to ensure that children and adults with disabilities receive needed services and enjoy activities regardless of the level of their ability.

**Job Description:**

As a Direct Support Professional you will be feeding, changing, toileting and caring for our participants. Since the residential program is a 24/7, individuals will need to be able to work evenings, overnights, and weekends in order to qualify for any of the positions.

**Requirements:**

* A High School Diploma is required.
* College degree is preferred.
* Experience working with the Developmentally Disabled Population
* **\\*Valid NYS Driver's License**

Job Types: Full-time, Part-time

Pay: $16.00 - $18.00 per hour

Benefits:

* Dental insurance
* Flexible schedule
* Flexible spending account
* Health insurance
* Paid sick time
* Paid time off
* Referral program
* Retirement plan
* Vision insurance

Schedule:

* 10 hour shift
* 12 hour shift
* 8 hour shift
* Day shift
* Holidays
* Monday to Friday
* Night shift
* On call
* Overtime
* Weekends as needed

Education:

* High school or equivalent (Required)

Experience:

* Caregiving: 1 year (Preferred)

License/Certification:

* Driver's License (Preferred)

Shift availability:

* Day Shift (Preferred)
* Night Shift (Preferred)
* Overnight Shift (Preferred)

Work Location: In person","https://www.indeed.com/cmp/United-Preschool-(cerebral-Palsy-of-Westchester)","","","","","","","","",""
